tick,measured_amplitude,predicted_(2/3)^k
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.666666666666666297e-01,6.666666666666666297e-01
2.000000000000000000e+00,4.444444444444444198e-01,4.444444444444444198e-01
3.000000000000000000e+00,2.962962962962962798e-01,2.962962962962962243e-01
4.000000000000000000e+00,2.469135802469135665e-01,1.975308641975308255e-01
5.000000000000000000e+00,2.633744855967077858e-01,1.316872427983538651e-01
6.000000000000000000e+00,4.622770919067215045e-01,8.779149519890257214e-02
