eps_p,s_p,L_ring_p,mu_36,signature_ok,n_ghosts,lightest_ghost_E,n_matched,n_baseline_preserved,matched,lost_vs_baseline,gained_vs_baseline
1.0,0.0,40.9034,6.7082,TRUE,0,,7,4,p|Λ|Ξ⁻|Σ±|Ω⁻|π⁰|τ,Δ⁺|Ξ⁰|η′,Λ|Σ±|τ
1.0,0.05,40.0874,6.5744,TRUE,0,,6,4,p|Δ⁺|Ξ⁻|Σ±|π⁰|τ,Ξ⁰|Ω⁻|η′,Σ±|τ
1.0,0.1,39.2758,6.4413,TRUE,0,,7,4,p|Ξ⁰|Ξ⁻|Σ±|π⁰|τ|φ,Δ⁺|Ω⁻|η′,Σ±|τ|φ
1.0,0.14,38.6298,6.3353,TRUE,0,,7,4,p|Ξ⁰|Ξ⁻|Σ±|π⁰|τ|φ,Δ⁺|Ω⁻|η′,Σ±|τ|φ
1.0,0.162,38.2758,6.2773,TRUE,0,,4,2,p|Σ±|π⁰|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′,Σ±|τ
1.0,0.18,37.9869,6.2299,TRUE,0,,4,2,p|Σ±|π⁰|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′,Σ±|τ
1.0,0.2,37.6667,6.1774,TRUE,0,,4,2,p|Σ±|π⁰|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′,Σ±|τ
1.0,0.25,36.8698,6.0467,TRUE,0,,4,1,n|p|ρ|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,n|ρ|τ
1.0,0.3,36.0786,5.9169,TRUE,0,,7,3,K±|p|Λ|Σ±|Ω⁻|η′|τ,Δ⁺|Ξ⁰|Ξ⁻|π⁰,K±|Λ|Σ±|τ
1.0,0.35,35.2933,5.7881,TRUE,0,,6,5,p|Δ⁺|Λ|Ξ⁰|Ω⁻|η′,Ξ⁻|π⁰,Λ
1.0,0.4,34.5143,5.6604,TRUE,0,,4,2,K⁰|p|Ξ⁰|τ,Δ⁺|Ξ⁻|Ω⁻|η′|π⁰,K⁰|τ
1.0,0.45,33.7422,5.5338,TRUE,0,,5,3,p|Ξ⁻|Ω⁻|τ|φ,Δ⁺|Ξ⁰|η′|π⁰,τ|φ
1.0,0.5,32.9774,5.4083,TRUE,0,,2,1,p|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,τ
1.2,0.0,39.6339,6.5000,TRUE,0,,6,4,p|Ξ⁰|Ω⁻|π⁰|τ|φ,Δ⁺|Ξ⁻|η′,τ|φ
1.2,0.05,38.7912,6.3618,TRUE,0,,7,4,p|Ξ⁰|Σ±|Ω⁻|π⁰|τ|φ,Δ⁺|Ξ⁻|η′,Σ±|τ|φ
1.2,0.1,37.9518,6.2241,TRUE,0,,5,4,p|Δ⁺|Ω⁻|π⁰|τ,Ξ⁰|Ξ⁻|η′,τ
1.2,0.14,37.2829,6.1144,TRUE,0,,6,4,p|Ξ⁻|Σ±|Ω⁻|π⁰|ρ,Δ⁺|Ξ⁰|η′,Σ±|ρ
1.2,0.162,36.9160,6.0543,TRUE,0,,6,3,n|p|Ξ⁻|Σ±|Ω⁻|ρ,Δ⁺|Ξ⁰|η′|π⁰,n|Σ±|ρ
1.2,0.18,36.6164,6.0051,TRUE,0,,6,2,n|p|Λ|Σ⁻|Ω⁻|ρ,Δ⁺|Ξ⁰|Ξ⁻|η′|π⁰,n|Λ|Σ⁻|ρ
1.2,0.2,36.2841,5.9506,TRUE,0,,6,3,n|p|Δ⁺|Λ|Ω⁻|ρ,Ξ⁰|Ξ⁻|η′|π⁰,n|Λ|ρ
1.2,0.25,35.4562,5.8149,TRUE,0,,5,4,p|Λ|Ξ⁰|Ω⁻|η′,Δ⁺|Ξ⁻|π⁰,Λ
1.2,0.3,34.6326,5.6798,TRUE,0,,7,4,K⁰|p|Ξ⁰|Ξ⁻|Σ⁻|Ω⁻|τ,Δ⁺|η′|π⁰,K⁰|Σ⁻|τ
1.2,0.35,33.8137,5.5455,TRUE,0,,3,1,p|τ|φ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,τ|φ
1.2,0.4,32.9999,5.4120,TRUE,0,,3,3,p|Ξ⁻|Ω⁻,Δ⁺|Ξ⁰|η′|π⁰,
1.2,0.45,32.1915,5.2794,TRUE,0,,2,1,p|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,τ
1.2,0.5,31.3889,5.1478,TRUE,0,,3,1,p|Λ|η,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,Λ|η
1.5,0.0,38.5641,6.3246,TRUE,0,,6,3,p|Ξ⁰|Σ±|π⁰|τ|φ,Δ⁺|Ξ⁻|Ω⁻|η′,Σ±|τ|φ
1.5,0.05,37.6975,6.1824,TRUE,0,,4,4,p|Δ⁺|Ω⁻|π⁰,Ξ⁰|Ξ⁻|η′,
1.5,0.1,36.8332,6.0407,TRUE,0,,6,2,n|p|Δ⁺|Σ⁻|ρ|τ,Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,n|Σ⁻|ρ|τ
1.5,0.14,36.1436,5.9276,TRUE,0,,4,3,p|Δ⁺|Λ|η′,Ξ⁰|Ξ⁻|Ω⁻|π⁰,Λ
1.5,0.162,35.7650,5.8655,TRUE,0,,4,3,p|Λ|Ξ⁻|η′,Δ⁺|Ξ⁰|Ω⁻|π⁰,Λ
1.5,0.18,35.4557,5.8148,TRUE,0,,5,4,p|Λ|Ξ⁰|Ξ⁻|η′,Δ⁺|Ω⁻|π⁰,Λ
1.5,0.2,35.1124,5.7585,TRUE,0,,4,3,K⁰|p|Ξ⁰|Ξ⁻,Δ⁺|Ω⁻|η′|π⁰,K⁰
1.5,0.25,34.2562,5.6181,TRUE,0,,7,3,K±|K⁰|p|Ξ⁰|Σ±|Ω⁻|φ,Δ⁺|Ξ⁻|η′|π⁰,K±|K⁰|Σ±|φ
1.5,0.3,33.4030,5.4781,TRUE,0,,4,2,K±|p|Δ⁺|φ,Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,K±|φ
1.5,0.35,32.5533,5.3388,TRUE,0,,4,1,K±|p|Σ±|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,K±|Σ±|τ
1.5,0.4,31.7071,5.2000,TRUE,0,,4,2,K±|p|Ω⁻|η,Δ⁺|Ξ⁰|Ξ⁻|η′|π⁰,K±|η
1.5,0.45,30.8648,5.0619,TRUE,0,,7,3,n|p|Λ|Ξ⁰|Ξ⁻|η|τ,Δ⁺|Ω⁻|η′|π⁰,n|Λ|η|τ
1.5,0.5,30.0268,4.9244,TRUE,0,,4,3,p|Ξ⁰|η′|ρ,Δ⁺|Ξ⁻|Ω⁻|π⁰,ρ
2.0,0.0,37.7111,6.1847,TRUE,0,,2,2,p|π⁰,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′,
2.0,0.05,36.8244,6.0392,TRUE,0,,4,1,K±|n|p|ρ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,K±|n|ρ
2.0,0.1,35.9392,5.8941,TRUE,0,,4,2,K±|p|Λ|η′,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|π⁰,K±|Λ
2.0,0.14,35.2320,5.7781,TRUE,0,,6,3,K±|p|Λ|Ξ⁰|Σ⁻|η′,Δ⁺|Ξ⁻|Ω⁻|π⁰,K±|Λ|Σ⁻
2.0,0.162,34.8436,5.7144,TRUE,0,,4,3,K⁰|p|Δ⁺|Ξ⁰,Ξ⁻|Ω⁻|η′|π⁰,K⁰
2.0,0.18,34.5260,5.6623,TRUE,0,,3,2,K⁰|p|Ξ⁰,Δ⁺|Ξ⁻|Ω⁻|η′|π⁰,K⁰
2.0,0.2,34.1733,5.6045,TRUE,0,,5,3,K⁰|p|Ξ⁰|Ξ⁻|φ,Δ⁺|Ω⁻|η′|π⁰,K⁰|φ
2.0,0.25,33.2930,5.4601,TRUE,0,,4,2,p|Σ±|Ω⁻|φ,Δ⁺|Ξ⁰|Ξ⁻|η′|π⁰,Σ±|φ
2.0,0.3,32.4145,5.3160,TRUE,0,,3,2,p|Δ⁺|τ,Ξ⁰|Ξ⁻|Ω⁻|η′|π⁰,τ
2.0,0.35,31.5381,5.1723,TRUE,0,,4,2,p|Ξ⁻|η|τ,Δ⁺|Ξ⁰|Ω⁻|η′|π⁰,η|τ
2.0,0.4,30.6639,5.0289,TRUE,0,,7,4,n|p|Λ|Ξ⁰|Ξ⁻|Ω⁻|τ,Δ⁺|η′|π⁰,n|Λ|τ
2.0,0.45,29.7922,4.8859,TRUE,0,,4,2,p|η′|ρ|τ,Δ⁺|Ξ⁰|Ξ⁻|Ω⁻|π⁰,ρ|τ
2.0,0.5,28.9231,4.7434,TRUE,0,,2,2,p|Ω⁻,Δ⁺|Ξ⁰|Ξ⁻|η′|π⁰,
