mode,n_t,n_r,q_eff,lambda_curved,mu2_flat,ratio
"(1, 2)",1,2,1.837963,2.0695791961036756,6.683893113335942,0.30963678817280565
"(3, 6)",3,6,5.513889,23.079819143963846,60.155038020023476,0.38367225595105425
"(2, 4)",2,4,3.675926,9.755606618925913,26.735572453343767,0.364892378345383
"(4, 8)",4,8,7.351852,42.042069895442665,106.94228981337507,0.3931285740076284
"(6, 12)",6,12,11.027778,96.85393181580679,240.6201520800939,0.40251795611685737
"(9, 18)",9,18,16.541667,221.20750603804566,541.3953421802114,0.4085877524310386
"(12, 24)",12,24,22.055556,395.95889695895164,962.4806083203756,0.4113941554105067
