eps_e,s_e,fitness_q132,n_ghosts,n_dark,n_gap
302.6458,1.9560,1.5647,0,28,51
309.9624,1.9560,1.5712,0,28,51
317.4559,1.9560,1.5774,0,28,51
325.1305,1.9560,1.5833,0,28,51
332.9906,1.9560,1.5889,0,28,51
341.0408,1.9560,1.5943,0,28,51
349.2856,1.9560,1.5994,0,28,51
357.7297,1.9560,1.6043,0,28,51
366.3780,1.9560,1.6089,0,28,51
375.2353,1.9560,1.6134,0,28,51
384.3068,1.9560,1.6176,0,28,51
393.5975,1.9560,1.6216,0,28,51
403.1129,1.9560,1.6255,0,28,51
412.8583,1.9560,1.6291,0,28,51
422.8393,1.9560,1.6326,0,28,51
433.0616,1.9560,1.6360,0,28,51
443.5310,1.9560,1.6392,0,28,51
454.2536,1.9560,1.6422,0,28,51
465.2353,1.9560,1.6451,0,28,51
476.4826,1.9560,1.6478,0,28,51
488.0017,1.9560,1.6505,0,28,51
499.7993,1.9560,1.6530,0,28,51
511.8822,1.9560,1.6554,0,28,51
524.2571,1.9560,1.6576,0,28,51
536.9313,1.9560,1.6598,0,28,51
549.9118,1.9560,1.6619,0,28,51
563.2061,1.9560,1.6639,0,28,51
576.8218,1.9560,1.6657,0,28,51
590.7667,1.9560,1.6675,0,28,51
605.0487,1.9560,1.6693,0,28,51
619.6760,1.9560,1.6709,0,28,51
634.6569,1.9560,1.6724,0,28,51
650.0000,1.9560,1.6739,0,28,51
250.0000,1.9580,1.0000,0,28,51
256.0438,1.9580,1.0000,0,28,51
262.2338,1.9580,1.0000,0,28,51
268.5734,1.9580,1.0000,0,28,51
275.0663,1.9580,1.0000,0,28,51
281.7161,1.9580,1.0000,0,28,51
288.5267,1.9580,1.0000,0,28,51
295.5019,1.9580,1.0000,0,28,51
302.6458,1.9580,1.0000,0,28,51
309.9624,1.9580,1.0000,0,28,51
317.4559,1.9580,1.0000,0,28,51
325.1305,1.9580,1.0000,0,28,51
332.9906,1.9580,1.0000,0,28,51
341.0408,1.9580,1.0000,0,28,51
349.2856,1.9580,1.0000,0,28,51
357.7297,1.9580,1.0000,0,28,51
366.3780,1.9580,1.0000,0,28,51
375.2353,1.9580,1.0000,0,28,51
384.3068,1.9580,1.0000,0,28,51
393.5975,1.9580,1.0000,0,28,51
403.1129,1.9580,1.0000,0,28,51
412.8583,1.9580,1.0000,0,28,51
422.8393,1.9580,1.0000,0,28,51
433.0616,1.9580,1.0000,0,28,51
443.5310,1.9580,1.0000,0,28,51
454.2536,1.9580,1.0000,0,28,51
465.2353,1.9580,1.0000,0,28,51
476.4826,1.9580,1.0000,0,28,51
488.0017,1.9580,1.0000,0,28,51
499.7993,1.9580,1.0000,0,28,51
511.8822,1.9580,1.0000,0,28,51
524.2571,1.9580,1.0000,0,28,51
536.9313,1.9580,1.0000,0,28,51
549.9118,1.9580,1.0000,0,28,51
563.2061,1.9580,1.0000,0,28,51
576.8218,1.9580,1.0000,0,28,51
590.7667,1.9580,1.0000,0,28,51
605.0487,1.9580,1.0000,0,28,51
619.6760,1.9580,1.0000,0,28,51
634.6569,1.9580,1.0000,0,28,51
650.0000,1.9580,1.0000,0,28,51
250.0000,1.9600,1.0000,0,28,53
256.0438,1.9600,1.0000,0,28,53
262.2338,1.9600,1.0000,0,28,53
268.5734,1.9600,1.0000,0,28,53
275.0663,1.9600,1.0000,0,28,53
281.7161,1.9600,1.0000,0,28,53
288.5267,1.9600,1.0000,0,28,53
295.5019,1.9600,1.0000,0,28,53
302.6458,1.9600,1.0000,0,28,53
309.9624,1.9600,1.0000,0,28,53
317.4559,1.9600,1.0000,0,28,53
325.1305,1.9600,1.0000,0,28,53
332.9906,1.9600,1.0000,0,28,53
341.0408,1.9600,1.0000,0,28,53
349.2856,1.9600,1.0000,0,28,53
357.7297,1.9600,1.0000,0,28,53
366.3780,1.9600,1.0000,0,28,53
375.2353,1.9600,1.0000,0,28,53
384.3068,1.9600,1.0000,0,28,53
393.5975,1.9600,1.0000,0,28,53
403.1129,1.9600,1.0000,0,28,53
412.8583,1.9600,1.0000,0,28,53
422.8393,1.9600,1.0000,0,28,53
433.0616,1.9600,1.0000,0,28,53
443.5310,1.9600,1.0000,0,28,53
454.2536,1.9600,1.0000,0,28,53
465.2353,1.9600,1.0000,0,28,53
476.4826,1.9600,1.0000,0,28,53
488.0017,1.9600,1.0000,0,28,53
499.7993,1.9600,1.0000,0,28,53
511.8822,1.9600,1.0000,0,28,53
524.2571,1.9600,1.0000,0,28,53
536.9313,1.9600,1.0000,0,28,53
549.9118,1.9600,1.0000,0,28,53
563.2061,1.9600,1.0000,0,28,53
576.8218,1.9600,1.0000,0,28,53
590.7667,1.9600,1.0000,0,28,53
605.0487,1.9600,1.0000,0,28,53
619.6760,1.9600,1.0000,0,28,53
634.6569,1.9600,1.0000,0,28,53
650.0000,1.9600,1.0000,0,28,53
250.0000,1.9620,1.6115,0,28,52
256.0438,1.9620,1.5986,0,28,52
262.2338,1.9620,1.5863,0,28,52
268.5734,1.9620,1.5745,0,28,52
275.0663,1.9620,1.5634,0,28,52
281.7161,1.9620,1.5527,0,28,52
288.5267,1.9620,1.5425,0,28,52
295.5019,1.9620,1.5328,0,28,51
302.6458,1.9620,1.5235,0,28,51
309.9624,1.9620,1.5147,0,28,51
317.4559,1.9620,1.5063,0,28,51
325.1305,1.9620,1.4982,0,28,51
332.9906,1.9620,1.4905,0,28,51
341.0408,1.9620,1.4832,0,28,51
349.2856,1.9620,1.4763,0,28,52
357.7297,1.9620,1.4696,0,28,52
366.3780,1.9620,1.4633,0,28,52
375.2353,1.9620,1.4572,0,28,52
384.3068,1.9620,1.4514,0,28,52
393.5975,1.9620,1.4459,0,28,52
403.1129,1.9620,1.4407,0,28,52
412.8583,1.9620,1.4357,0,28,52
422.8393,1.9620,1.4309,0,28,52
433.0616,1.9620,1.4264,0,28,52
443.5310,1.9620,1.4220,0,28,52
454.2536,1.9620,1.4179,0,28,52
465.2353,1.9620,1.4139,0,28,52
476.4826,1.9620,1.4102,0,28,52
488.0017,1.9620,1.4066,0,28,52
499.7993,1.9620,1.4032,0,28,52
511.8822,1.9620,1.3999,0,28,52
524.2571,1.9620,1.3968,0,28,52
536.9313,1.9620,1.3938,0,28,52
549.9118,1.9620,1.3910,0,28,52
563.2061,1.9620,1.3883,0,28,52
576.8218,1.9620,1.3857,0,28,52
590.7667,1.9620,1.3833,0,28,52
605.0487,1.9620,1.3809,0,28,52
619.6760,1.9620,1.3787,0,28,52
634.6569,1.9620,1.3766,0,28,52
650.0000,1.9620,1.3745,0,28,52
250.0000,1.9640,1.0000,0,29,53
256.0438,1.9640,1.0000,0,29,53
