eps_e,s_e,fitness,ghosts,gaps,darks,multiples
619.6760,1.9540,1.0000,0,51,116,64
634.6569,1.9540,1.0000,0,51,116,64
650.0000,1.9540,1.0000,0,51,116,64
250.0000,1.9560,1.5002,0,51,116,64
256.0438,1.9560,1.5096,0,51,116,64
262.2338,1.9560,1.5187,0,51,116,64
268.5734,1.9560,1.5273,0,51,116,64
275.0663,1.9560,1.5355,0,51,116,64
281.7161,1.9560,1.5433,0,51,116,64
288.5267,1.9560,1.5508,0,51,116,64
295.5019,1.9560,1.5579,0,51,116,64
302.6458,1.9560,1.5647,0,51,116,64
309.9624,1.9560,1.5712,0,51,116,64
317.4559,1.9560,1.5774,0,51,116,64
325.1305,1.9560,1.5833,0,51,116,64
332.9906,1.9560,1.5889,0,51,116,64
341.0408,1.9560,1.5943,0,51,116,64
349.2856,1.9560,1.5994,0,51,116,64
357.7297,1.9560,1.6043,0,51,116,64
366.3780,1.9560,1.6089,0,51,116,64
375.2353,1.9560,1.6134,0,51,116,64
384.3068,1.9560,1.6176,0,51,116,64
393.5975,1.9560,1.6216,0,51,116,64
403.1129,1.9560,1.6255,0,51,116,64
412.8583,1.9560,1.6291,0,51,116,64
422.8393,1.9560,1.6326,0,51,116,64
433.0616,1.9560,1.6360,0,51,116,64
443.5310,1.9560,1.6392,0,51,116,64
454.2536,1.9560,1.6422,0,51,116,64
465.2353,1.9560,1.6451,0,51,116,64
476.4826,1.9560,1.6478,0,51,116,64
488.0017,1.9560,1.6505,0,51,116,64
499.7993,1.9560,1.6530,0,51,116,64
511.8822,1.9560,1.6554,0,51,116,64
524.2571,1.9560,1.6576,0,51,116,64
536.9313,1.9560,1.6598,0,51,116,64
549.9118,1.9560,1.6619,0,51,116,64
563.2061,1.9560,1.6639,0,51,116,64
576.8218,1.9560,1.6657,0,51,116,64
590.7667,1.9560,1.6675,0,51,116,64
605.0487,1.9560,1.6693,0,51,116,64
619.6760,1.9560,1.6709,0,51,116,64
634.6569,1.9560,1.6724,0,51,116,64
650.0000,1.9560,1.6739,0,51,116,64
250.0000,1.9580,1.0000,0,51,116,64
256.0438,1.9580,1.0000,0,51,116,64
262.2338,1.9580,1.0000,0,51,116,64
268.5734,1.9580,1.0000,0,51,116,64
275.0663,1.9580,1.0000,0,51,116,64
281.7161,1.9580,1.0000,0,51,116,64
288.5267,1.9580,1.0000,0,51,116,64
295.5019,1.9580,1.0000,0,51,116,64
