sheet,eps,s,fitness
p,0.890000,0.040000,6.6348
p,0.900000,0.040000,6.7640
p,0.920000,0.040000,7.0127
p,0.940000,0.040000,6.7658
p,0.960000,0.040000,6.5160
p,0.980000,0.040000,6.2779
p,1.000000,0.040000,6.0510
p,1.020000,0.040000,5.9605
p,1.040000,0.040000,5.9498
p,1.060000,0.040000,5.9396
p,1.080000,0.040000,5.9297
p,1.100000,0.040000,5.9201
p,1.120000,0.040000,5.9109
p,1.140000,0.040000,5.9021
p,1.160000,0.040000,5.8936
p,1.180000,0.040000,5.8853
p,1.200000,0.040000,5.8774
p,0.400000,0.050000,6.7748
p,0.420000,0.050000,7.3682
p,0.440000,0.050000,7.9493
p,0.460000,0.050000,7.7308
p,0.480000,0.050000,7.3822
p,0.500000,0.050000,7.2991
p,0.520000,0.050000,8.7051
p,0.540000,0.050000,8.8183
p,0.550000,0.050000,8.9983
p,0.560000,0.050000,9.5230
p,0.580000,0.050000,10.9103
p,0.600000,0.050000,10.3357
p,0.620000,0.050000,8.1786
p,0.640000,0.050000,7.2701
p,0.660000,0.050000,6.9926
p,0.680000,0.050000,6.7278
p,0.700000,0.050000,6.6134
p,0.720000,0.050000,6.5323
p,0.730000,0.050000,6.4930
p,0.740000,0.050000,6.4546
p,0.760000,0.050000,6.6302
p,0.780000,0.050000,6.9536
p,0.800000,0.050000,7.2220
p,0.800000,0.050000,7.2220
p,0.820000,0.050000,6.8019
p,0.840000,0.050000,6.4444
p,0.860000,0.050000,6.4302
p,0.880000,0.050000,6.7093
p,0.890000,0.050000,6.8436
p,0.900000,0.050000,6.9745
p,0.920000,0.050000,6.8503
p,0.940000,0.050000,6.5853
p,0.960000,0.050000,6.3328
p,0.980000,0.050000,6.0922
p,1.000000,0.050000,5.9903
p,1.020000,0.050000,5.9794
p,1.040000,0.050000,5.9689
p,1.060000,0.050000,5.9588
p,1.080000,0.050000,5.9490
p,1.100000,0.050000,5.9396
p,1.120000,0.050000,5.9306
p,1.140000,0.050000,5.9218
p,1.160000,0.050000,5.9134
p,1.180000,0.050000,5.9053
p,1.200000,0.050000,5.8975
p,0.400000,0.060000,6.7008
p,0.420000,0.060000,7.2128
p,0.440000,0.060000,7.7861
p,0.460000,0.060000,7.8755
p,0.480000,0.060000,7.5560
p,0.500000,0.060000,7.3414
p,0.520000,0.060000,8.6869
p,0.540000,0.060000,9.0538
