eps_e,s_e,fitness,n_ghosts,n_sub_electron
422.8393,1.9560,1.6326,13,0
433.0616,1.9560,1.6360,13,1
443.5310,1.9560,1.6392,13,1
454.2536,1.9560,1.6422,13,0
465.2353,1.9560,1.6451,13,0
476.4826,1.9560,1.6478,13,1
488.0017,1.9560,1.6505,13,0
499.7993,1.9560,1.6530,13,0
511.8822,1.9560,1.6554,13,1
524.2571,1.9560,1.6576,13,0
536.9313,1.9560,1.6598,13,1
549.9118,1.9560,1.6619,13,1
563.2061,1.9560,1.6639,13,0
576.8218,1.9560,1.6657,13,1
590.7667,1.9560,1.6675,13,1
605.0487,1.9560,1.6693,13,0
619.6760,1.9560,1.6709,13,1
634.6569,1.9560,1.6724,13,0
650.0000,1.9560,1.6739,13,1
250.0000,1.9580,1.0000,12,0
256.0438,1.9580,1.0000,12,0
262.2338,1.9580,1.0000,12,1
268.5734,1.9580,1.0000,12,0
275.0663,1.9580,1.0000,12,1
281.7161,1.9580,1.0000,12,0
288.5267,1.9580,1.0000,12,1
295.5019,1.9580,1.0000,12,0
302.6458,1.9580,1.0000,12,1
309.9624,1.9580,1.0000,12,0
317.4559,1.9580,1.0000,12,1
325.1305,1.9580,1.0000,12,1
332.9906,1.9580,1.0000,12,0
341.0408,1.9580,1.0000,12,0
349.2856,1.9580,1.0000,12,1
357.7297,1.9580,1.0000,12,0
366.3780,1.9580,1.0000,12,0
375.2353,1.9580,1.0000,12,1
384.3068,1.9580,1.0000,12,0
393.5975,1.9580,1.0000,12,1
403.1129,1.9580,1.0000,12,1
412.8583,1.9580,1.0000,12,0
422.8393,1.9580,1.0000,12,0
433.0616,1.9580,1.0000,12,0
443.5310,1.9580,1.0000,12,1
454.2536,1.9580,1.0000,12,1
465.2353,1.9580,1.0000,12,1
476.4826,1.9580,1.0000,12,0
488.0017,1.9580,1.0000,12,0
499.7993,1.9580,1.0000,12,0
511.8822,1.9580,1.0000,12,1
524.2571,1.9580,1.0000,12,0
536.9313,1.9580,1.0000,12,1
549.9118,1.9580,1.0000,12,1
563.2061,1.9580,1.0000,12,0
576.8218,1.9580,1.0000,12,0
590.7667,1.9580,1.0000,12,1
605.0487,1.9580,1.0000,12,1
619.6760,1.9580,1.0000,12,1
634.6569,1.9580,1.0000,12,0
650.0000,1.9580,1.0000,12,0
250.0000,1.9600,1.0000,12,0
256.0438,1.9600,1.0000,12,0
262.2338,1.9600,1.0000,12,1
268.5734,1.9600,1.0000,12,0
275.0663,1.9600,1.0000,12,0
281.7161,1.9600,1.0000,12,1
288.5267,1.9600,1.0000,12,0
295.5019,1.9600,1.0000,12,0
