sigma_pS_tube,sigma_eff_tube,V_min_pn,r_min_pn,mean_field_per_n,n_bound_pn,E0_pn,B_pn_total
0.001,-0.0010002647627570316,0.10376066775484105,20.0,399.5975776990542,0,,
0.005,-0.00500900502914208,0.10363415754727612,20.0,399.47076820319245,0,,
0.01,-0.01006632326477712,0.10347455568103214,20.0,399.3107887286306,0,,
0.02,-0.020528655381898433,0.103144379118703,20.0,398.9798308679797,0,,
0.03,-0.03183669526229634,0.10278751313740031,20.0,398.6221202499567,0,,
0.05,-0.059516452488614806,0.10191397828339177,20.0,397.7465170958634,0,,
0.075,-0.11709882551871316,0.10009675692981546,20.0,395.92498939064666,0,,
0.1,-0.27699466395239275,0.09505065257098977,20.0,390.86690119127417,0,,
0.115,-0.7418838718514844,0.08037927768918962,20.0,376.1604676918614,0,,
