name,Z,A,m_obs,m_Ma,E_Coul,E_Surf,m_total,B_obs,B_pred,ratio,B_per_A_obs,B_per_A_pred,rel_err
1H,1,1,938.2720746944523,919.9320881599999,0.0,18.34,938.27208816,1.346554768133501e-05,0.0,0,1.346554768133501e-05,0.0,0
2H,1,2,1875.6129290424155,1839.7170525086312,0.0,29.112935293096776,1868.829987801728,2.224579637584384,9.007520878271862,4.049088972176742,1.112289818792192,4.503760439135931,3.049088972176742
3H,1,3,2808.9211160312643,2760.4827294406573,0.0,38.14873731477192,2798.6314667554293,8.481813168735698,18.771462444570716,2.2131426466410598,2.8272710562452326,6.257154148190239,1.2131426466410598
3He,2,3,2808.3915288742623,2759.158679804895,0.9845730095779013,38.14873731477192,2798.2919901292453,7.718067965737646,17.817606710754717,2.3085578916707323,2.5726893219125486,5.939202236918239,1.3085578916707323
4He,2,4,3727.379327649196,3679.4341050172625,0.89454394542536,46.21390411014395,3726.542553072832,28.2956897108038,29.13246428716775,1.0295725103334186,7.07392242770095,7.283116071791937,0.029572510333418556
6Li,3,6,5601.518498113292,5519.151157525894,2.344368346715185,60.55734574472745,5582.052871617336,31.99402792670844,51.459654422664244,1.6084143747247905,5.33233798778474,8.576609070444041,0.6084143747247905
7Li,3,7,6533.832824721656,6439.776814345527,2.2269489035282657,67.1116667218213,6509.115429970876,39.24512183834395,63.96251658912388,1.6298208183069038,5.606445976906278,9.13750236987484,0.629820818306904
9Be,4,9,8392.7513791769,8279.470525219376,4.095988779673039,79.3525713583136,8362.919085357362,58.164076063099856,87.99636988263774,1.5128989547977008,6.462675118122206,9.777374431404192,0.5128989547977008
10B,5,10,9324.436723009796,9198.585262543156,6.591056143730145,85.12673920845836,9290.303057895346,64.75082039020344,98.88448550465364,1.5271541720823432,6.475082039020345,9.888448550465364,0.527154172082343
11B,5,11,10252.547833532075,10119.172723298712,6.38494924492105,90.71124370918116,10216.268916252815,76.20513038792524,112.48404766718522,1.476069223877457,6.927739126175021,10.225822515198656,0.47606922387745704
12C,6,12,11174.86323534,11038.302315051787,9.303631949441582,96.12879433958231,11143.734741340812,92.16181673999927,123.2903107391885,1.3377591186923632,7.680151394999939,10.274192561599042,0.33775911869236314
13C,6,13,12109.482355439988,11958.879491679438,9.05868488702769,101.3977300828705,12069.335906649336,97.10811716001263,137.25456595066498,1.4134201132177233,7.469855166154817,10.558043534666536,0.41342011321772326
14N,7,14,13040.203858227358,12878.019367560419,12.372713612490692,106.53313035355832,12996.925211526468,104.65870253264256,147.9373492335326,1.4135217201588335,7.4756216094744685,10.566953516680899,0.41352172015883354
16O,8,16,14895.080645240894,14717.73642006905,15.778766456563902,116.4517411723871,14849.966927698,127.6194241991052,172.73314174199913,1.3535019674787896,7.976214012444075,10.795821358874946,0.3535019674787896
19F,9,19,17692.301510930472,17478.01278674663,19.157535757214205,130.58753736226254,17627.757859866106,147.8014877095302,212.3451387738969,1.4366914843997538,7.779025668922642,11.176059935468258,0.43669148439975386
20Ne,10,20,18617.730126869767,18397.170525086312,23.54096127631207,135.13027537012937,18555.841761732754,160.6449599302323,222.53332506724473,1.3852493421760035,8.032247996511614,11.126666253362236,0.3852493421760036
23Na,11,23,21409.21351372948,21157.440160804763,27.46260656821452,148.32620617931178,21333.228973552286,186.5645022705212,262.5490424477139,1.4072829463935965,8.111500098718313,11.415175758596256,0.40728294639359647
24Mg,12,24,22335.79290244777,22076.604630103575,32.49090931607074,152.59494925908768,22261.690488678734,198.2572017122293,272.3596154812658,1.373769089491116,8.260716738009554,11.348317311719407,0.3737690894911162
27Al,13,27,25126.501028562994,24836.869529164058,36.92,165.05999999999997,25038.849529164057,224.9520047970036,312.60350419594033,1.3896453355818426,8.331555733222356,11.577907562812605,0.3896453355818425
28Si,14,28,26053.188084213416,25756.038735120837,42.55432697569947,169.1108031927038,25967.70386528924,236.53703730658526,322.0212562307606,1.3613988739250835,8.447751332378045,11.500759151098594,0.36139887392508346
31P,15,31,28844.21164703894,28516.300119856543,47.4632069458048,180.98411587503594,28744.747442677384,262.916403681058,362.38060804261477,1.3783111398489083,8.481174312292193,11.689697033632735,0.3783111398489083
32S,16,32,29773.61975380751,29435.4728401381,53.67263672552159,184.85561644057577,29674.001093304196,271.78038507248857,371.39904557580303,1.3665410234691677,8.493137033515268,11.606220174243845,0.36654102346916767
35Cl,17,35,32564.59305766381,32195.731513805847,59.03885207049376,196.23570393563554,32451.006069811978,298.2100104161909,411.79699826802243,1.3808959588355403,8.52028601189117,11.765628521943498,0.38089595883554034
40Ar,18,40,37215.52621727509,36797.283526399995,63.52720938041273,214.5059412752958,37075.31667705571,343.8106210449114,484.02016126429226,1.4078103805904982,8.595265526122784,12.100504031607306,0.40781038059049823
39K,19,39,36284.7538210144,35875.1634638609,71.60273078819804,210.91577803956235,36157.68197268866,333.7242644256039,460.79611275134084,1.3807689816754833,8.55703242116933,11.815284942342073,0.38076898167548334
40Ca,20,40,37214.6977245134,36794.341050172625,78.88999857698313,214.5059412752958,37087.7369900249,342.052449086601,469.01318357509444,1.371173294702385,8.551311227165025,11.725329589377361,0.37117329470238497
45Sc,21,45,41865.432453804446,41395.76700703664,83.83720693099387,232.0283262245112,41711.63254019214,387.85149003555125,541.6514036478547,1.3965433099102078,8.618922000790027,12.036697858841217,0.39654330991020786
48Ti,22,48,44651.98320064634,44156.102716052126,90.25818134853462,242.2293829789098,44488.590280379576,418.7036723936617,582.0965926604258,1.3902352213265123,8.722993174867952,12.127012347092204,0.39023522132651245
51V,23,51,47442.24256084784,46916.455725462765,96.8765818291576,252.21995782465137,47265.552265116574,445.8472413921627,622.5375371234259,1.3963023191072033,8.742102772395347,12.206618374969134,0.39630231910720337
52Cr,24,52,48370.01125515426,47835.51796671775,105.00169551648288,255.50626908593432,48196.02593132017,456.3506352457407,630.3359590798354,1.381253602814435,8.775973754725783,12.121845366919912,0.38125360281443504
55Mn,25,55,51161.68948580246,50595.86361649356,112.018229098428,265.24128566099597,50973.123131252985,482.07533379753295,670.6416883470083,1.3911553679049495,8.765006069046054,12.193485242672878,0.39115536790494954
