alpha_spread_at_max,amplification_factor,direction,hypothesis,max_sigma_pS_tube,n_params,param_a,param_b,param_c,sigma_eff_at_max
2.220446049250313e-15,3.702985901618616,positive,H6,0.10198989898989898,2,1.046327068604,-1.8189204262787948,,0.37766715806710266
2.220446049250313e-15,3.702985901618616,negative,H6,-0.10198989898989898,2,1.046327068604,-1.8189204262787948,,-0.37766715806710266
6.661338147750939e-16,2.302192475808465,positive,H7,0.10198989898989898,3,1.5207116257666646,-1.8189204262787955,7.244808635325572e-05,0.2348003780630108
9.992007221626409e-16,2.537820762417527,negative,H7,-0.10198989898989898,3,1.3594247192576265,-1.8189204262787952,0.00022185128172513136,-0.258832083213432
