config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-0.01,0.644236350872137,24.834691419800265,2.235149484287246,27.06984090408751
pp (two protons),-0.01,0.6616114537561479,23.55572935690907,2.1764504517506227,25.73217980865969
pp (two protons),-0.01,0.6794551644730158,22.342271786553738,2.119292961041496,24.461564747595233
pp (two protons),-0.01,0.6977801214112719,21.191002163535586,2.063636528507866,23.254638692043454
pp (two protons),-0.01,0.7165993038177373,20.09876807969954,2.009441733671012,22.10820981337055
pp (two protons),-0.01,0.7359260409904973,19.06257351262275,1.9566701913046558,21.019243703927405
pp (two protons),-0.01,0.7557740217198096,18.079571403775844,1.9052845242473773,19.984855928023222
pp (two protons),-0.01,0.7761573039836359,17.14705655580906,1.8552483369290227,19.00230489273808
pp (two protons),-0.01,0.7970903249046623,16.262458838534712,1.8065261895923583,18.06898502812707
pp (two protons),-0.01,0.8185879109758601,15.423336693186684,1.7590835731917112,17.182420266378394
pp (two protons),-0.01,0.8406652885618323,14.627370924564502,1.7128868849508143,16.340257809515318
pp (two protons),-0.01,0.8633380946833817,13.872358770752271,1.6679034045625463,15.540262175314817
pp (two protons),-0.01,0.8866223880929394,13.156208240218348,1.6241012710137108,14.780309511232058
pp (two protons),-0.01,0.9105346606486984,12.476932706239722,1.5814494600184366,14.05838216625816
pp (two protons),-0.01,0.9350918489955091,11.832645748770574,1.5399177620442182,13.372563510814793
pp (two protons),-0.01,0.960311346560808,11.221556234062291,1.4994767609150332,12.721032994977325
pp (two protons),-0.01,0.9862110158740792,10.641963622557114,1.4600978129763773,12.102061435533491
pp (two protons),-0.01,1.0128092012185723,10.092253495796967,1.4217530268074634,11.514006522604431
pp (two protons),-0.01,1.0401247416242363,9.57089329333212,1.3844152434662182,10.955308536798338
pp (two protons),-0.01,1.068176984211077,9.076428250858271,1.3480580172530756,10.424486268111346
pp (two protons),-0.01,1.0969857978923836,8.60747753106557,1.3126555969799507,9.92013312804552
pp (two protons),-0.01,1.1265715874475304,8.162730538945425,1.2781829077311255,9.44091344667655
pp (two protons),-0.01,1.15695530797433,7.740943413557034,1.2446155331031195,8.985558946660152
pp (two protons),-0.01,1.1881584797311593,7.3409356885290435,1.211929697910981,8.552865386440025
pp (two protons),-0.01,1.2202032033793846,6.961587113830092,1.1801022513487385,8.14168936517883
pp (two protons),-0.01,1.2531121756368724,6.601834631604106,1.149110650592089,7.750945282196195
pp (two protons),-0.01,1.286908705353679,6.260669499137748,1.1189329448317091,7.379602443969457
pp (two protons),-0.01,1.3216167300213015,5.9371345522731644,1.0895477597258816,7.026682311999046
pp (two protons),-0.01,1.3572608327271851,5.630321602842287,1.0609342822614207,6.691255885103708
pp (two protons),-0.01,1.3938662595664941,5.339368963947436,1.03307224601218,6.372441209959616
pp (two protons),-0.01,1.4314589375234785,5.06345909715742,1.0059419167846975,6.069401013942118
pp (two protons),-0.01,1.4700654928351076,4.801816375924545,0.9795240786408081,5.7813404545653535
pp (two protons),-0.01,1.5097132698499651,4.553704959770357,0.9538000202873342,5.507504980057691
pp (two protons),-0.01,1.550430350395775,4.318426774005502,0.9287515218232008,5.247178295828703
pp (two protons),-0.01,1.592245573669269,4.095319589976725,0.9043608418345991,4.999680431811324
pp (two protons),-0.01,1.635188556662486,3.8837552010456875,0.8806107048290535,4.764365905874741
pp (two protons),-0.01,1.6792897151399695,3.6831376897118844,0.8574842889994909,4.540621978711375
pp (two protons),-0.01,1.7245802851817236,3.4929017814940835,0.8349652143096495,4.327866995803733
pp (two protons),-0.01,1.7710923453071794,3.3125112813786473,0.8130375308923861,4.125548812271033
pp (two protons),-0.01,1.8188588391958544,3.1414575888268246,0.7916857077526614,3.933143296579486
pp (two protons),-0.01,1.8679135990207818,2.9792582875202243,0.7708946217672105,3.7501529092874346
pp (two protons),-0.01,1.918291369411249,2.825455806190803,0.7506495469730963,3.576105353163899
pp (two protons),-0.01,1.9700278320618105,2.6796161470524567,0.7309361441375691,3.410552291190026
pp (two protons),-0.01,2.0231596310050097,2.541327678512289,0.7117404506018382,3.2530681291141272
pp (two protons),-0.01,2.0777243985657057,2.4101999889901435,0.6930488703915642,3.103248859381708
pp (two protons),-0.01,2.1337607820153934,2.28586279882893,0.6748481645870676,2.9607109634159974
pp (two protons),-0.01,2.191308470945389,2.1679649274137773,0.6571254419464344,2.8250903693602116
pp (two protons),-0.01,2.250408225378273,2.0561733127608477,0.6398681497748745,2.6960414625357223
pp (two protons),-0.01,2.311101904637505,1.9501720809591916,0.6230640650338661,2.5732361459930577
pp (two protons),-0.01,2.37343249699565,1.849661662981589,0.6067012856837922,2.4563629486653813
pp (two protons),-0.01,2.4374441501222193,1.7543579564951415,0.590768222253934,2.3451261787490756
pp (two protons),-0.01,2.5031822023526953,1.66399153041516,0.5752535896338501,2.23924512004901
pp (two protons),-0.01,2.570693214800881,1.578306870060942,0.5601463990803314,2.1384532691412734
pp (two protons),-0.01,2.6400250043373252,1.4970616608679848,0.5454359504342653,2.04249761130225
pp (two protons),-0.01,2.711226677457175,1.4200261087196395,0.5311118245419002,1.9511379332615397
pp (two protons),-0.01,2.784348665061446,1.3469822950471553,0.5171638758751418,1.864146170922297
pp (two protons),-0.01,2.8594427581763537,1.2777235649457452,0.503582225345651,1.7813057902913962
pp (two protons),-0.01,2.9365621446359893,1.2120539466341143,0.4903572533076597,1.702411199941774
pp (two protons),-0.01,3.015761446754333,1.1497876006717433,0.47747959274454355,1.6272671934162868
pp (two protons),-0.01,3.0970967600132857,1.0907482974255345,0.46494012263432716,1.5556884200598615
pp (two protons),-0.01,3.1806256927941177,1.0347689213488138,0.4527299614894243,1.487498882838238
pp (two protons),-0.01,3.2664074071804796,0.9816910007148181,0.4408404610660349,1.4225314617808529
pp (two protons),-0.01,3.3545026608618724,0.9313642615061326,0.4292632002387454,1.360627461744878
pp (two protons),-0.01,3.4449738501672584,0.8836462042304447,0.4179899790359924,1.3016361832664372
pp (two protons),-0.01,3.5378850542592835,0.8384017024968671,0.4070128128321669,1.245414515329034
pp (two protons),-0.01,3.6333020805204415,0.7955026222384731,0.39632392669224215,1.1918265489307154
pp (two protons),-0.01,3.731292511163282,0.7548274605305778,0.3859157498649243,1.140743210395502
pp (two protons),-0.01,3.831925751097718,0.7162610030006817,0.3757809104204206,1.0920419134211024
pp (two protons),-0.01,3.9352730770893047,0.6796939988832946,0.365912230029031,1.0456062289123256
pp (two protons),-0.01,4.041407688243333,0.6450228528110529,0.3563027188768623,1.0013255716879153
pp (two protons),-0.01,4.150404757850472,0.6121493324887979,0.34694557071506527,0.9590949032038631
pp (two protons),-0.01,4.262341486630705,0.5809802914395732,0.33783415803908695,0.9188144494786601
pp (two protons),-0.01,4.377297157413235,0.5514274060412845,0.32896202739452624,0.8803894334358107
pp (two protons),-0.01,4.495353191291146,0.5234069261291552,0.3203228948062634,0.8437298209354186
pp (two protons),-0.01,4.61659320529053,0.496839438465031,0.3119106413276313,0.8087500797926623
pp (two protons),-0.01,4.741103071594967,0.4716496424091474,0.30371930870647196,0.7753689511156194
pp (two protons),-0.01,4.868970978367293,0.44776613717453984,0.29574309516501085,0.7435092323395507
pp (two protons),-0.01,5.0002874922117355,0.42512122006132813,0.2879763512905589,0.713097571351887
pp (two protons),-0.01,5.135145622320657,0.4036506951122192,0.28041357603413214,0.6840642711463514
pp (two protons),-0.01,5.2736408863513375,0.3832936916480776,0.27304941281415535,0.656343104462233
pp (two protons),-0.01,5.415871378079471,0.363992492179932,0.265878645722488,0.62987113790242
pp (two protons),-0.01,5.561937836877255,0.34569236921015545,0.2588961958300888,0.6045885650402443
pp (two protons),-0.01,5.711943719065351,0.3283414304682992,0.25209711758969794,0.5804385480579972
pp (two protons),-0.01,5.865995271189172,0.311890472145933,0.2454765953329929,0.557367067478926
pp (two protons),-0.01,6.024201605271462,0.2962928397162159,0.23902993985973464,0.5353227795759505
pp (two protons),-0.01,6.1866747760944305,0.2815042959521179,0.232752585116489,0.5142568810686069
pp (two protons),-0.01,6.3535298605662005,0.26748289576562456,0.22664008496257082,0.4941229807281954
pp (two protons),-0.01,6.524885039227769,0.25418886752277103,0.22068811002092026,0.4748769775436913
pp (two protons),-0.01,6.700861679958227,0.241584500493218,0.2148924446116803,0.45647694510489834
pp (two protons),-0.01,6.88158442393749,0.2296340381265054,0.20924898376630519,0.4388830218928106
pp (two protons),-0.01,7.0671812739274875,0.2183035768443915,0.20375373032008193,0.4220573071644734
pp (two protons),-0.01,7.257783684934276,0.20756097007256358,0.19840279208100897,0.40596376215357255
pp (two protons),-0.01,7.453526657315318,0.1973757372379623,0.19319237907302453,0.39056811631098687
pp (two protons),-0.01,7.654548832397881,0.18771897747296862,0.18811880085163266,0.3758377783246013
pp (two protons),-0.01,7.860992590676268,0.17856328778816533,0.18317846389002596,0.3617417516781913
pp (two protons),-0.01,8.07300415265743,0.16988268547902408,0.1783678690338533,0.34825055451287734
pp (two protons),-0.01,8.290733682426405,0.1616525345489208,0.1736836090228299,0.3353361435717507
pp (two protons),-0.01,8.5143353940049,0.15384947594134246,0.1691223660774345,0.32297184201877693
pp (two protons),-0.01,8.7439676605784,0.14645136138369708,0.16468090954898418,0.31113227093268125
pp (two protons),-0.01,8.979793126669131,0.13943719065537152,0.16035609363142195,0.29979328428679347
pp (two protons),-0.01,9.221978823334322,0.1327870521058685,0.15614485513319767,0.28893190723906614
pp (two protons),-0.01,9.470696286471394,0.12648206625112834,0.15204421130766282,0.27852627755879117
pp (two protons),-0.01,9.726121678313834,0.12050433229046575,0.14805125774044328,0.268555590030909
pp (two protons),-0.01,9.988435912203828,0.11483687739496418,0.14416316629229325,0.25900004368725743
pp (two protons),-0.01,10.257824780730022,0.10946360862044457,0.1403771830959737,0.24984079171641826
pp (two protons),-0.01,10.534479087321166,0.10436926731108542,0.13669062660573622,0.24105989391682164
pp (two protons),-0.01,10.818594781388844,0.09953938586590994,0.1331008856980313,0.23264027156394124
pp (two protons),-0.01,11.110373097115025,0.09496024674308501,0.1296054178220948,0.22456566456517982
pp (two protons),-0.01,11.410020695982716,0.09061884358925454,0.1262017471991039,0.21682059078835844
pp (two protons),-0.01,11.717749813150677,0.08650284438044764,0.12288746306862611,0.20939030744907375
pp (two protons),-0.01,12.033778407775893,0.08260055647428999,0.11966021798111966,0.20226077445540963
pp (two protons),-0.01,12.358330317390182,0.07890089347165485,0.11651772613527653,0.19541861960693138
pp (two protons),-0.01,12.691635416440485,0.07539334379657703,0.11345776175902861,0.18885110555560564
pp (two protons),-0.01,13.033929779104872,0.07206794089984214,0.11047815753307261,0.18254609843291475
pp (two protons),-0.01,13.385455846499767,0.06891523501303709,0.10757680305579569,0.1764920380688328
pp (two protons),-0.01,13.746462598396752,0.06592626635961096,0.10475164334851478,0.17067790970812574
pp (two protons),-0.01,14.1172057295706,0.063092539758145,0.1020006773999711,0.1650932171581161
pp (two protons),-0.01,14.497947830903403,0.060406000539387605,0.09932195674904885,0.15972795728843647
pp (two protons),-0.01,14.88895857537312,0.0578590117127078,0.09671358410471423,0.15457259581742203
pp (two protons),-0.01,15.290514909058219,0.05544433231420953,0.0941737120021974,0.14961804431640693
pp (two protons),-0.01,15.70290124729376,0.05315509687852682,0.09170054149446544,0.14485563837299226
pp (two protons),-0.01,16.126409676117795,0.05098479597222649,0.08929232087805954,0.14027711685028604
pp (two protons),-0.01,16.561340159150824,0.048927257739023844,0.08694734445239412,0.13587460219141795
pp (two protons),-0.01,17.008000750054762,0.046976630398376074,0.08466395131163891,0.13164058171001497
pp (two protons),-0.01,17.46670781072198,0.045127365651978835,0.08244052416832831,0.12756788982030715
pp (two protons),-0.01,17.937786235348913,0.043374202952236374,0.08027548820786498,0.12364969116010135
pp (two protons),-0.01,18.421569680552917,0.04171215458336519,0.07816730997310617,0.11987946455647136
pp (two protons),-0.01,18.918400801695473,0.04013649151647769,0.07611449627824274,0.11625098779472043
pp (two protons),-0.01,19.42863149557889,0.03864272999885543,0.074115593151202,0.11275832315005743
pp (two protons),-0.01,19.952623149688797,0.037226618837166825,0.07216918480382434,0.10939580364099116
pn (proton + neutron),-0.01,0.1,834.1912799982438,0.0,834.1912799982438
pn (proton + neutron),-0.01,0.10269700752844653,796.7233528826805,0.0,796.7233528826805
pn (proton + neutron),-0.01,0.10546675355297805,760.7062101467477,0.0,760.7062101467477
pn (proton + neutron),-0.01,0.10831119983631005,726.0959289945372,0.0,726.0959289945372
pn (proton + neutron),-0.01,0.1112323610500461,692.849329577738,0.0,692.849329577738
pn (proton + neutron),-0.01,0.11423230620163467,660.923974372005,0.0,660.923974372005
pn (proton + neutron),-0.01,0.11731316009981085,630.2781691951805,0.0,630.2781691951805
pn (proton + neutron),-0.01,0.12047710485956133,600.8709656658311,0.0,600.8709656658311
pn (proton + neutron),-0.01,0.12372638144767811,572.6621648924756,0.0,572.6621648924756
pn (proton + neutron),-0.01,0.12706329126999646,545.6123221785292,0.0,545.6123221785292
pn (proton + neutron),-0.01,0.13049019780144022,519.6827525254994,0.0,519.6827525254994
pn (proton + neutron),-0.01,0.13400952826002985,494.8355367173085,0.0,494.8355367173085
pn (proton + neutron),-0.01,0.13762377532603856,471.0335277717895,0.0,471.0335277717895
pn (proton + neutron),-0.01,0.14133549890751418,448.24035755125306,0.0,448.24035755125306
pn (proton + neutron),-0.01,0.1451473279534173,426.4204433324162,0.0,426.4204433324162
pn (proton + neutron),-0.01,0.14906196231566,405.53899414665557,0.0,405.53899414665557
pn (proton + neutron),-0.01,0.15308217466136348,385.56201671431154,0.0,385.56201671431154
pn (proton + neutron),-0.01,0.15721081243669013,366.4563208111995,0.0,366.4563208111995
pn (proton + neutron),-0.01,0.1614507998836396,348.18952392142546,0.0,348.18952392142546
pn (proton + neutron),-0.01,0.16580514011123854,330.7300550475484,0.0,330.7300550475484
pn (proton + neutron),-0.01,0.17027691722259,314.0471575668821,0.0,314.0471575668821
pn (proton + neutron),-0.01,0.17486929849928992,298.1108910408457,0.0,298.1108910408457
pn (proton + neutron),-0.01,0.17958553664475743,282.8921319024962,0.0,282.8921319024962
pn (proton + neutron),-0.01,0.1844289720880677,268.3625729653904,0.0,268.3625729653904
pn (proton + neutron),-0.01,0.18940303534991942,254.49472171441766,0.0,254.49472171441766
pn (proton + neutron),-0.01,0.194511249472413,241.2618973560334,0.0,241.2618973560334
pn (proton + neutron),-0.01,0.1997572325143594,228.63822662115535,0.0,228.63822662115535
pn (proton + neutron),-0.01,0.20514470011388813,216.5986383286927,0.0,216.5986383286927
pn (proton + neutron),-0.01,0.21067746812016877,205.11885673114466,0.0,205.11885673114466
pn (proton + neutron),-0.01,0.2163594552961103,194.17539367581276,0.0,194.17539367581276
pn (proton + neutron),-0.01,0.22219468609395232,183.74553962586606,0.0,183.74553962586606
pn (proton + neutron),-0.01,0.22818729350571443,173.80735359474102,0.0,173.80735359474102
pn (proton + neutron),-0.01,0.23434152199052194,164.33965205516574,0.0,164.33965205516574
pn (proton + neutron),-0.01,0.24066173048088252,155.32199689046797,0.0,155.32199689046797
pn (proton + neutron),-0.01,0.2471523954700416,146.7346824608435,0.0,146.7346824608435
pn (proton + neutron),-0.01,0.2538181141826046,138.55872186095257,0.0,138.55872186095257
pn (proton + neutron),-0.01,0.26066360783067044,130.77583244770062,0.0,130.77583244770062
pn (proton + neutron),-0.01,0.267693724957784,123.36842071841102,0.0,123.36842071841102
pn (proton + neutron),-0.01,0.27491344487307445,116.31956661992558,0.0,116.31956661992558
pn (proton + neutron),-0.01,0.282327881178013,109.61300736858311,0.0,109.61300736858311
pn (proton + neutron),-0.01,0.28994228538828765,103.23312085963425,0.0,103.23312085963425
pn (proton + neutron),-0.01,0.2977620506533597,97.16490874255896,0.0,97.16490874255896
pn (proton + neutron),-0.01,0.30579271557633764,91.39397923606907,0.0,91.39397923606907
pn (proton + neutron),-0.01,0.31403996813687257,85.9065297534114,0.0,85.9065297534114
pn (proton + neutron),-0.01,0.3225096497198551,80.68932940502327,0.0,80.68932940502327
pn (proton + neutron),-0.01,0.33120775925276624,75.7297014417295,0.0,75.7297014417295
pn (proton + neutron),-0.01,0.3401404574546124,71.01550569758774,0.0,71.01550569758774
pn (proton + neutron),-0.01,0.3493140711994558,66.53512108726432,0.0,66.53512108726432
pn (proton + neutron),-0.01,0.3587350979976282,62.27742820852063,0.0,62.27742820852063
pn (proton + neutron),-0.01,0.36841021059780427,58.231792096070194,0.0,58.231792096070194
pn (proton + neutron),-0.01,0.3783462617131929,54.38804516878099,0.0,54.38804516878099
pn (proton + neutron),-0.01,0.3885502888751937,50.736470407990964,0.0,50.736470407990964
pn (proton + neutron),-0.01,0.3990295194179585,47.267784800605796,0.0,47.267784800605796
pn (proton + neutron),-0.01,0.4097913755973848,43.97312307670836,0.0,43.97312307670836
pn (proton + neutron),-0.01,0.42084347984817105,40.84402176761,0.0,40.84402176761
pn (proton + neutron),-0.01,0.4321936601826526,37.87240360669989,0.0,37.87240360669989
pn (proton + neutron),-0.01,0.4438499557352474,35.05056229203251,0.0,35.05056229203251
pn (proton + neutron),-0.01,0.4558206224564336,32.371147626420225,0.0,32.371147626420225
pn (proton + neutron),-0.01,0.4681141389602956,29.827151047818006,0.0,29.827151047818006
pn (proton + neutron),-0.01,0.4807392125297774,27.411891560033837,0.0,27.411891560033837
pn (proton + neutron),-0.01,0.4937047852839001,25.119002071250634,0.0,25.119002071250634
pn (proton + neutron),-0.01,0.5070200405113077,22.94241614552243,0.0,22.94241614552243
pn (proton + neutron),-0.01,0.5206944091746305,20.876355170274337,0.0,20.876355170274337
pn (proton + neutron),-0.01,0.5347375765902704,18.91531594092021,0.0,18.91531594092021
pn (proton + neutron),-0.01,0.5491594892883426,17.05405866196179,0.0,17.05405866196179
pn (proton + neutron),-0.01,0.5639703620576277,15.287595362405227,0.0,15.287595362405227
pn (proton + neutron),-0.01,0.5791806851805291,13.611178721923807,0.0,13.611178721923807
pn (proton + neutron),-0.01,0.5948012318631565,12.020291302999794,0.0,12.020291302999794
pn (proton + neutron),-0.01,0.6108430658657985,10.510635183204158,0.0,10.510635183204158
pn (proton + neutron),-0.01,0.6273175493391927,9.078121980846845,0.0,9.078121980846845
pn (proton + neutron),-0.01,0.644236350872137,7.718863266446078,0.0,7.718863266446078
pn (proton + neutron),-0.01,0.6616114537561479,6.42916135178757,0.0,6.42916135178757
pn (proton + neutron),-0.01,0.6794551644730158,5.205500447783152,0.0,5.205500447783152
pn (proton + neutron),-0.01,0.6977801214112719,4.04453818188972,0.0,4.04453818188972
pn (proton + neutron),-0.01,0.7165993038177373,2.9430974654710553,0.0,2.9430974654710553
pn (proton + neutron),-0.01,0.7359260409904973,1.8981587012112868,0.0,1.8981587012112868
pn (proton + neutron),-0.01,0.7557740217198096,0.9068523204805388,0.0,0.9068523204805388
pn (proton + neutron),-0.01,0.7761573039836359,-0.033548359584756327,0.0,-0.033548359584756327
pn (proton + neutron),-0.01,0.7970903249046623,-0.925633969607361,0.0,-0.925633969607361
pn (proton + neutron),-0.01,0.8185879109758601,-1.771865622434916,0.0,-1.771865622434916
pn (proton + neutron),-0.01,0.8406652885618323,-2.5745811588667493,0.0,-2.5745811588667493
pn (proton + neutron),-0.01,0.8633380946833817,-3.3360011148911326,0.0,-3.3360011148911326
pn (proton + neutron),-0.01,0.8866223880929394,-4.058234420582494,0.0,-4.058234420582494
pn (proton + neutron),-0.01,0.9105346606486984,-4.743283840674167,0.0,-4.743283840674167
pn (proton + neutron),-0.01,0.9350918489955091,-5.3930511666633265,0.0,-5.3930511666633265
pn (proton + neutron),-0.01,0.960311346560808,-6.009342170118543,0.0,-6.009342170118543
pn (proton + neutron),-0.01,0.9862110158740792,-6.5938713266571085,0.0,-6.5938713266571085
pn (proton + neutron),-0.01,1.0128092012185723,-7.148266319846016,0.0,-7.148266319846016
pn (proton + neutron),-0.01,1.0401247416242363,-7.6740723340390105,0.0,-7.6740723340390105
pn (proton + neutron),-0.01,1.068176984211077,-8.172756144929963,0.0,-8.172756144929963
pn (proton + neutron),-0.01,1.0969857978923836,-8.645710016344992,0.0,-8.645710016344992
pn (proton + neutron),-0.01,1.1265715874475304,-9.094255411542235,0.0,-9.094255411542235
pn (proton + neutron),-0.01,1.15695530797433,-9.519646527032592,0.0,-9.519646527032592
pn (proton + neutron),-0.01,1.1881584797311593,-9.923073656664883,0.0,-9.923073656664883
pn (proton + neutron),-0.01,1.2202032033793846,-10.305666393461934,0.0,-10.305666393461934
pn (proton + neutron),-0.01,1.2531121756368724,-10.66849667643487,0.0,-10.66849667643487
pn (proton + neutron),-0.01,1.286908705353679,-11.012581689333501,0.0,-11.012581689333501
pn (proton + neutron),-0.01,1.3216167300213015,-11.338886618040306,0.0,-11.338886618040306
pn (proton + neutron),-0.01,1.3572608327271851,-11.648327273064751,0.0,-11.648327273064751
pn (proton + neutron),-0.01,1.3938662595664941,-11.941772583332295,0.0,-11.941772583332295
pn (proton + neutron),-0.01,1.4314589375234785,-12.220046967233884,0.0,-12.220046967233884
pn (proton + neutron),-0.01,1.4700654928351076,-12.483932586649644,0.0,-12.483932586649644
pn (proton + neutron),-0.01,1.5097132698499651,-12.734171489433265,0.0,-12.734171489433265
pn (proton + neutron),-0.01,1.550430350395775,-12.971467645615348,0.0,-12.971467645615348
pn (proton + neutron),-0.01,1.592245573669269,-13.196488882360427,0.0,-13.196488882360427
