config,sigma_aS,sigma_at,sigma_eff,r_fm,V_MeV
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1,2493.1657001266967
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10234114021054533,2411.8093887776467
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10473708979594494,2332.665689517614
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10718913192051278,2255.687376972387
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.10969857978923835,2180.8281554693885
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11226677735108136,2108.0426279058975
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11489510001873092,2037.28626535339
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.11758495540521567,1968.5153774275352
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12033778407775896,1901.6870834553863
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12315506032928256,1836.7592844729777
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12603829296797275,1773.6906360877922
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.12898902612533086,1712.44052224158
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1320088400831418,1652.9690299094248
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.13509935211980267,1595.2369247710596
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.13826221737646557,1539.2056278899151
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1414991297434576,1484.837193434407
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.14481182276745339,1432.0942874744212
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.14820207057988583,1380.940167883782
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15167168884709228,1331.3386653768196
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15522253574270473,1283.2541657038366
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.15885651294280528,1236.651593026391
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.16257556664437942,1191.4963944889248
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1663816886076129,1147.754525998301
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.17027691722259,1105.3924392174197
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.174263338600965,1064.3770697732486
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.17834308769319093,1024.6758266733866
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.18251834943190434,986.2565829188522
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.1867913599020783,949.0876672940524
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.19116440753857022,913.1378573081504
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.19563983435170637,878.3763732552027
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.20022003718155845,844.7728733537331
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2049074689815847,812.297449919846
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2097046401323233,780.9206265217119
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2146141197858404,750.6133560573687
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.21963853724165458,721.3470196923438
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.22478058335487253,693.0934265887315
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2300430119772918,665.8248143530975
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2354286414322418,639.5138501270287
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2409403560239525,614.1336322413315
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.24658110758226032,589.6576923528421
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2523539170434766,566.0599979816022
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2582618760682676,543.3149553657397
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.26430814869741054,521.3974125518259
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2704959730463135,500.2826626396902
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2768286630392066,479.94644710265516
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.2833096101839324,460.3649591069004
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.28994228538828765,441.51484675699953
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.29673024081888694,423.37321619872387
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.30367711180354584,405.917634514695
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3107866187782013,389.1261323534857
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3180625692794119,372.97720623810505
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3255088599835058,357.44982050549174
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3331294787934673,342.523408834463
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3409285069746812,328.17787532557463
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3489101213406773,314.3935951023593
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.35707859649004636,301.1514144093933
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3654383070957256,288.4326501885182
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.3739937302478798,276.2190891202579
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.38274944785163123,264.4929861229332
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.39171014908092594,253.23706230717085
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.40088063288984654,242.43450238837227
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.41026581058271927,232.0689515642291
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.419870708444391,222.1245118684726
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.42970047043208404,212.58573801580974
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.439760360930272,203.43763275627066
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4500557675700499,194.66564176012048
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4605922041145106,186.25564805695853
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.4713753134116724,178.19396605468978
pp (R64),-0.3,0.05636353457417957,-0.09596986864786333,0.482410870416537,170.46733516576592
