eps_p,s_p,K_p,m_p_predicted,m_n_predicted,mass_ratio,ratio_error,mu_u,mu_d,m_u_MeV,m_d_MeV,m_d_minus_m_u,d_to_u_ratio,m_2H_pred,m_2H_obs,B_2H_pred,B_2H_obs,m_3He_pred,B_3He_pred,B_3He_obs,m_4He_pred,B_4He_pred,B_4He_obs
0.01,10.441430064526907,3.112738200903248,938.272,939.5649999999999,1.0013780652092357,0.0,100.35565625082774,100.77097390643058,312.38088488866634,313.6736600207709,1.2927751321045662,1.0041384578719192,1877.7961668382122,1875.613,0.04083316178775931,2.224,2816.0545433509565,0.05445664904345904,7.718000000000302,3755.5923336764245,0.08166632357551862,28.295000000000073
0.01332220367278798,5.85528714920833,4.156698152847704,938.2719999999999,939.5649999999999,1.0013780652092357,0.0,75.16159698342092,75.472564275317,312.4240713460693,313.7166685138898,1.2925971678204746,1.0041373161877425,1877.763835040354,1875.613,0.0731649596459647,2.224,2816.011424535404,0.09757546459604782,7.718000000000302,3755.527670080708,0.1463299192919294,28.295000000000073
0.01664440734557596,3.7430939076712253,5.198849269376817,938.2719999999999,939.565,1.001378065209236,2.220446049250313e-16,60.10552139033846,60.35410883167611,312.47954596567376,313.77191460344824,1.292368637774473,1.004135850344318,1877.7222962617207,1875.613,0.11470373827933145,2.224,2815.956027089162,0.15297291083788878,7.718000000000302,3755.4445925234413,0.2294074765586629,28.295000000000073
0.019966611018363938,2.598166044959071,6.240065325038879,938.272,939.5650000000002,1.001378065209236,2.220446049250313e-16,50.08718396560118,50.29424744405317,312.54729989259124,313.83938952456145,1.2920896319702138,1.0041340610922387,1877.671551622868,1875.613,0.1654483771321793,2.224,2815.8883525968604,0.2206474031399921,7.718000000000302,3755.343103245736,0.3308967542643586,28.295000000000073
0.02328881469115192,1.9085279133180597,7.280703237113961,938.272,939.5649999999999,1.0013780652092357,0.0,42.93916553066513,43.11658798857355,312.62732147808583,313.91908174171635,1.2917602636305219,1.0041319493687344,1877.611603123492,1875.613,0.22539687650805718,2.224,2815.8084038355564,0.3005961644435047,7.718000000000302,3755.223206246984,0.45079375301611435,28.295000000000073
0.0266110183639399,1.461171769619839,8.320931582478641,938.2719999999999,939.5649999999999,1.0013780652092357,0.0,37.58228193945249,37.73747858473663,312.7195967316069,314.01097739884636,1.2913806672394799,1.0041295162846728,1877.5424533095372,1875.613,0.2945466904627665,2.224,2815.716184330763,0.39281566923682476,7.718000000000302,3755.0849066190744,0.589093380925533,28.295000000000073
0.02993322203672788,1.1545582658220122,9.360836507892605,938.2720000000002,939.565,1.0013780652092357,0.0,33.41839259602317,33.55630238611686,312.8241094479416,314.11506044584644,1.2909509979048153,1.0041267631199624,1877.464105184427,1875.613,0.37289481557331783,2.224,2815.6116982380436,0.4973017619568054,7.718000000000302,3754.928210368854,0.7457896311466357,28.295000000000073
0.03325542570951586,0.9352760236639535,10.400463327572341,938.272,939.5650000000002,1.001378065209236,2.220446049250313e-16,30.08912501306951,30.213203276737087,312.94084125716904,314.23131268819253,1.2904714310234908,1.0041236913208238,1877.376562179029,1875.613,0.46043782097126496,2.224,2815.494950302931,0.6140496970692766,7.718000000000302,3754.753124358058,0.9208756419425299,28.295000000000073
0.03657762938230384,0.7730465338031154,11.439835221229327,938.272,939.5649999999999,1.0013780652092357,0.0,27.366632962588927,27.479391768732505,313.0697716518803,314.35971381390533,1.2899421620250564,1.0041203024974874,1877.279828139582,1875.613,0.557171860418066,2.224,2815.365945844795,0.7430541552048453,7.718000000000302,3754.559656279164,1.114343720836132,28.295000000000073
0.03989983305509182,0.6496631219634368,12.478962514854295,938.272,939.565,1.0013780652092357,0.0,25.099112016257926,25.20243498117534,313.2108780070117,314.5002414131397,1.2893634061280181,1.0041165984219078,1877.1739073220804,1875.613,0.6630926779196216,2.224,2815.224690749335,0.8843092506654102,7.718000000000302,3754.3478146441607,1.3261853558392431,28.295000000000073
0.0432220367278798,0.553643339887142,13.517847652992705,938.272,939.565,1.0013780652092357,0.0,23.18151111342327,23.27684695616792,313.36413559741305,314.6528709955049,1.2887353980918306,1.0041125810253777,1877.0588043892735,1875.613,0.7781956107264705,2.224,2815.0711914645385,1.0378085354618634,7.718000000000302,3754.117608778547,1.556391221452941,28.295000000000073
0.046544240400667784,0.47745446593616936,14.556488029997933,938.272,939.565,1.0013780652092357,0.0,21.538816022722653,21.627302915254678,313.52951761508996,314.8175760070441,1.2880583919541664,1.0041082523959848,1876.9345244088086,1875.613,0.9024755911914326,2.224,2814.9054549981674,1.2035450018329357,7.718000000000302,3753.869048817617,1.8049511823828652,28.295000000000073
