sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.5,0,0.799145449254844,0.799145449254844,1.7692612282796223,0.21135415049974754,10.018029027090053,3.336050662614324,3.196581797019376,12.786327188077504,9.816161554692338,9.816161554692338
-0.4975,0,0.7991004555085098,0.7991004555085098,1.7694696380470198,0.2116727635570608,10.021281619311413,3.3367671259989153,3.1964018220340393,12.785607288136157,9.816359417198102,9.816359417198102
-0.495,0,0.7990547577668019,0.7990547577668012,1.7696813272675853,0.21199661661957825,10.024585737363887,3.337494898920588,3.1962190310672063,12.78487612426883,9.816560383297091,9.816560383297091
-0.4925,0,0.7990083411578917,0.7990083411578909,1.769896365708853,0.21232582709925288,10.027942486440752,3.3382342229119324,3.1960333646315653,12.784133458526261,9.816764518756278,9.816764518756278
-0.49,0,0.7989611904123282,0.798961190412329,1.7701148250193155,0.21266051576138228,10.03135300181735,3.3389853460468393,3.195844761649315,12.78337904659725,9.816971891107523,9.816971891107523
-0.4875,0,0.7989132898501223,0.7989132898501223,1.7703367787901017,0.21300080684155603,10.034818449848201,3.339748523156099,3.1956531594004893,12.782612637601957,9.817182569705153,9.817182569705153
-0.485,0,0.7988646233673302,0.7988646233673297,1.770562302619047,0.21334682816743575,10.038340029003136,3.340524016051397,3.19545849346932,12.78183397387728,9.81739662578571,9.81739662578571
-0.4825,0,0.7988151744221359,0.7988151744221367,1.7707914741772675,0.21369871128559864,10.041918970944469,3.3413120937581384,3.195260697688545,12.78104279075418,9.817614132530148,9.817614132530148
-0.48,0,0.7987649260203741,0.7987649260203734,1.7710243732783455,0.21405659159369558,10.045556541646738,3.342113032757381,3.195059704081495,12.78023881632598,9.817835165128258,9.817835165128258
-0.4775,0,0.7987138607004987,0.798713860700498,1.7712610819502295,0.2144206084781605,10.049254042561298,3.3429271172374455,3.1948554428019933,12.779421771207979,9.818059800845802,9.818059800845802
-0.475,0,0.7986619605179618,0.7986619605179618,1.7715016845100122,0.21479090545777096,10.053012811827651,3.3437546393555166,3.194647842071847,12.778591368287389,9.818288119094172,9.818288119094172
-0.4725,0,0.7986092070289721,0.7986092070289721,1.7717462676416804,0.2151676303333257,10.056834225533784,3.3445958995097844,3.1944368281158884,12.777747312463553,9.818520201502901,9.818520201502901
-0.47,0,0.7985555812736043,0.7985555812736043,1.7719949204769831,0.21555093534374592,10.060719699027674,3.3454512066225677,3.194222325094417,12.776889300377668,9.818756131994968,9.818756131994968
-0.4675,0,0.7985010637582478,0.7985010637582478,1.7722477346795884,0.21594097732892875,10.06467068828266,3.3463208784349803,3.1940042550329912,12.776017020131965,9.818995996865263,9.818995996865263
-0.46499999999999997,0,0.7984456344373313,0.7984456344373304,1.7725048045326437,0.2163379178996793,10.068688691318833,3.3472052418135987,3.193782537749324,12.7751301509973,9.819239884862103,9.819239884862103
-0.4625,0,0.79838927269432,0.79838927269432,1.7727662270299311,0.21674192361508712,10.07277524968347,3.3481046330698168,3.19355709077728,12.77422836310912,9.819487887272112,9.819487887272112
-0.46,0,0.7983319573219406,0.7983319573219401,1.7730321019707793,0.21715316616772176,10.076931949993245,3.3490193982923944,3.193327829287761,12.773311317151045,9.819740098008596,9.819740098008596
-0.4575,0,0.7982736665015827,0.7982736665015822,1.7733025320588818,0.21757182257704047,10.081160425540995,3.3499498936938945,3.19309466600633,12.77237866402532,9.819996613703497,9.819996613703497
-0.455,0,0.7982143777818699,0.7982143777818693,1.7735776230052833,0.21799807539144772,10.085462357970599,3.350896485971626,3.1928575111274786,12.771430044509914,9.820257533803227,9.820257533803227
