alpha_proton,alpha_ratio_to_target,alpha_spread,hypothesis,n_params,sigma_pt_t,signature_ok,σ_er_t,σ_et_t,σ_pr_t,σ_pt_t,σ_νr_t,σ_νt_t
1.4609276190180523e-34,2.0019967719975781e-32,0.1,H_T1: σ_pt_t only,1,-1.734723475976807e-18,True,,,,,,
5.878193896037989e-32,8.055241787374618e-30,0.1,H_T2: σ_xt_t for all 3 sheets,3,,True,,-4.590615173797447,,-2.810193061377313,,-0.38043963738362974
1.230357339811653e-34,1.686032484184297e-32,0.1,H_T3: σ_xt_t and σ_xr_t for all 3 sheets,6,,True,-0.23429855980801567,4.64483813205072,-0.03896757314300709,0.07431698221137974,-1.887366596675899,-2.8045385111976895
