eps_p,s_p,K_p,rms_mass_err,delta_n_p
0.27999999999999997,0.3,85.4113712716752,0.0035874780234794634,28.11842931914532
0.29,0.3,88.42825439749782,0.0035881611242507164,30.107832733904388
0.26999999999999996,0.3,82.39111476509038,0.0035905321396853167,26.191992777857195
0.3,0.3,91.44165027958186,0.0035929716476160614,32.15949868895541
0.25999999999999995,0.3,79.36759939749972,0.0035969328375574337,24.32921086273143
0.30999999999999994,0.3,94.45144573216845,0.0036022948004449675,34.27270702438534
0.24999999999999994,0.3,76.34094032470789,0.0036062931926892786,22.53075399770239
0.31999999999999995,0.3,97.45752826685174,0.0036165059093907306,36.446722511161056
0.24,0.3,73.31125331755062,0.003618233626298379,20.79727453681005
0.22999999999999998,0.3,70.27865474060005,0.0036323849934247077,19.12940603188042
0.32999999999999996,0.3,100.45978611240444,0.0036359653798096903,38.68079561103423
0.21999999999999997,0.3,67.24326153060161,0.0036483911162328406,17.527762510727484
0.33999999999999997,0.3,103.45810823428606,0.0036610136784286694,40.97416323720165
0.20999999999999996,0.3,64.20519117465146,0.0036659107802210823,15.992937767604644
0.19999999999999996,0.3,61.16456168812323,0.0036846192306637065,14.525504667635914
0.3499999999999999,0.3,106.4523843538263,0.0036919665429681918,43.32604951423946
0.19,0.3,58.121491592353905,0.003704209219652933,13.126014466970673
0.18,0.3,55.076099892098085,0.003724391661430063,11.794996150396855
0.35999999999999993,0.3,109.44250496707672,0.0037291106272375717,45.73566653588489
0.16999999999999998,0.3,52.028506052760584,0.00374489595630665,10.532955788137542
0.15999999999999998,0.3,48.97882997741699,0.0037654700424914777,9.340375913538765
0.36999999999999994,0.3,112.42836136332367,0.0037726997785548825,48.20221511929253
0.14999999999999997,0.3,45.92719198363265,0.00378588023162879,8.217714923332096
0.13999999999999999,0.3,42.87371278009004,0.0038059108787509527,7.165406502117889
0.37999999999999995,0.3,115.40984564325608,0.003822952115389219,50.724885554452385
0.13,0.3,39.81851344303502,0.0038253639314056198,6.183859072673954
0.12,0.3,36.761715392552794,0.003844058396512959,5.273455273652303
0.10999999999999999,0.3,33.703440368683836,0.003861829757467922,4.434551466156677
0.09999999999999999,0.3,30.643810407391022,0.0038785293683610304,3.6674772706381873
0.38999999999999996,0.3,118.38685073678202,0.0038800480288920967,53.30285834752465
0.09,0.3,27.582947816388714,0.003894023847143056,2.9725351354724125
0.08,0.3,24.52097515084497,0.003908194485147036,2.3499999384982857
0.07,0.3,21.458015188968105,0.003920936686624304,1.8001186227172639
0.06,0.3,18.394190907488777,0.003932159448833024,1.3231098672536064
0.05,0.3,15.329625457049092,0.003941784890656681,0.9191637945828006
0.3999999999999999,0.3,121.35927042048742,0.003944129176792809,55.9353049568964
0.13,0.29000000000000004,39.816018280214195,0.003948531847761315,5.977649015164957
0.13999999999999999,0.29000000000000004,42.870598120834295,0.003948611751982976,6.926449364338396
0.12,0.29000000000000004,36.75975186456579,0.0039490870565574935,5.097614688586077
0.14999999999999997,0.29000000000000004,45.923363383960336,0.003949481775891298,7.9436447620896615
0.10999999999999999,0.29000000000000004,33.701927232406156,0.003950133064586431,4.28669185082606
0.15999999999999998,0.29000000000000004,48.97418644971168,0.0039513072101209626,9.028839197959087
0.09999999999999999,0.29000000000000004,30.642673071595087,0.003951536568421116,3.5452000180621326
0.09,0.29000000000000004,27.58211837246456,0.003953175513822089,2.873432344537491
0.16999999999999998,0.29000000000000004,52.02294010713903,0.003954263116313603,10.181612124142362
0.08,0.29000000000000004,24.520392400799192,0.003954939268476907,2.2716552422389213
0.07,0.29000000000000004,21.457624670680875,0.0039567287406182625,1.7401080332629135
0.06,0.29000000000000004,18.393944917210746,0.003958456454660519,1.2790026358908335
0.18,0.29000000000000004,55.0694975803707,0.003958533698248455,11.401518980936885
0.05,0.29000000000000004,15.329483069121913,0.003960046593980831,0.8885232853220941
0.19,0.29000000000000004,58.11373255454655,0.003964311546575942,12.688091747078033
0.19999999999999996,0.29000000000000004,61.15551920152722,0.0039717967487727475,14.04083951345467
0.05,0.28,15.32933685425859,0.00397830909230283,0.8578824663136402
0.20999999999999996,0.29000000000000004,64.19473220536709,0.003981195858829018,15.459249078662197
0.06,0.28,18.393692318630876,0.003984755048682569,1.2348947640590495
0.07,0.28,21.45722366736389,0.003992523629315884,1.6800962612423973
0.21999999999999997,0.29000000000000004,67.23124678753874,0.003992720724895432,16.94278556481197
0.05,0.27,15.329186812787793,0.003996572342609636,0.8272413834317831
0.08,0.28,24.519794014617556,0.004001688732125271,2.1933085363860982
0.22999999999999998,0.29000000000000004,70.2649387318977,0.004006587177611205,18.490893051990156
0.06,0.27,18.393433112566452,0.004011055128816758,1.1907863467710058
0.09,0.28,27.58126668953208,0.004012334512165756,2.774326348751515
0.05,0.26,15.32903294504676,0.004014836302168869,0.7966000825502988
0.4099999999999999,0.3,124.32699933473205,0.004015298477810963,58.621388520852065
0.24,0.29000000000000004,73.29568440937614,0.004023013587020506,20.102995229746853
0.09999999999999999,0.28,30.64150526661835,0.004024554886394925,3.422917904756332
0.07,0.27,21.456812180782205,0.004028321136689252,1.620083482434893
0.05,0.25,15.32887525138133,0.004033100928521218,0.7659586095435316
0.06,0.26,18.39316729985606,0.004037356594149627,1.1466774790402496
0.10999999999999999,0.28,33.70037359602052,0.0040384529624251635,4.138825157508677
0.24999999999999994,0.29000000000000004,76.32336080239409,0.004042219301697836,21.778496063973762
0.08,0.27,24.5191799957382,0.004048442456391013,2.114960120334217
0.05,0.24,15.328713732145909,0.004051366179475925,0.7353170102855984
0.12,0.28,36.757735833635216,0.004054140389652552,4.92176413857419
0.06,0.25,18.3928948813596,0.004063659344898913,1.1025682558801009
0.07,0.26,21.456390212746843,0.004064121050587215,1.5600698726220799
0.25999999999999995,0.29000000000000004,79.34784552897796,0.004064422989672814,23.516780477536827
0.05,0.23000000000000004,15.328548387703483,0.0040696320131044725,0.7046753306502751
0.09,0.27,27.580392773780535,0.004071500077871014,2.675217626823269
0.13,0.28,39.81345647107189,0.0040717366321561714,5.771425321020956
0.05,0.22000000000000003,15.328379218425619,0.0040878983877346954,0.6740336165105418
0.26999999999999996,0.29000000000000004,82.36901686657485,0.004089840906679495,25.317215043021633
0.06,0.24,18.392615857958276,0.004089963282378128,1.0584587723043342
0.13999999999999999,0.28,42.86740036543895,0.004091368164080449,6.687474012690359
0.41999999999999993,0.3,127.28993300037634,0.004093621055871344,61.36026457579305
0.08,0.26,24.518550347688617,0.004095200032491125,2.0366102934818855
0.09999999999999999,0.27,30.640307002930292,0.004097582996144848,3.300631658883617
0.07,0.25,21.455957765114757,0.004099923162571089,1.5000556075854092
0.05,0.21000000000000002,15.32820622469245,0.00410616526194616,0.6433919137385828
0.14999999999999997,0.28,45.91943276894065,0.004113167589831168,7.6695507785784685
0.06,0.23000000000000004,18.392330230554574,0.004116268308964027,1.0143491233243367
0.27999999999999997,0.29000000000000004,85.38675377555339,0.004118685122740786,27.17914868596506
0.05,0.2,15.328029406892684,0.004124432594564114,0.6127502682056729
0.10999999999999999,0.27,33.69877947636667,0.004126787228491325,3.99095244994885
0.09,0.26,27.579496631559685,0.004130671473865635,2.576106657470291
0.07,0.24,21.45551483978883,0.004135727267755713,1.4400408631057644
0.15999999999999998,0.28,48.96941935826966,0.004137272693315043,8.717271891133805
0.08,0.25,24.517905074085608,0.00414196106195391,1.9582593552287335
0.06,0.22000000000000003,18.39203800007228,0.004142574328061799,0.9702394039504725
0.05,0.19,15.327848765423594,0.004142700344655031,0.5821087257814952
0.29,0.29000000000000004,88.4009359223801,0.004151161742753674,29.101913396956434
0.12,0.27,36.75566732574308,0.00415921475635621,4.745905126555613
0.05,0.18,15.327664300691023,0.004160968471520953,0.5514673323343686
0.16999999999999998,0.28,52.01722626378048,0.004163825422556951,9.830229807215574
0.06,0.21000000000000002,18.391739167456443,0.00416888124407553,0.9261297091901497
0.09999999999999999,0.26,30.63907829127126,0.004170619633592378,3.178342008622508
0.07,0.23000000000000004,21.455061438717827,0.0041715331646614865,1.3800258149602769
0.42999999999999994,0.3,130.24796783513477,0.004179126032005563,64.15108176403157
0.05,0.16999999999999998,15.327476013109376,0.004179236934694868,0.5208261337310205
0.3,0.29000000000000004,91.41144370246198,0.004187469160133847,31.084824951016003
0.08,0.24,24.517244178635213,0.00418872515605264,1.8799076049712085
0.09,0.25,27.57857826937967,0.004189847988408847,2.4769939194098924
0.18,0.28,55.062720098429345,0.00419297081826713,11.007993670396559
0.13,0.27,39.81082805431827,0.004194972406538662,5.56519005491657
0.06,0.2,18.39143373367339,0.004195188962376589,0.882020134048048
0.05,0.15999999999999998,15.327283903101614,0.004197505693936519,0.490185175835677
0.07,0.22000000000000003,21.454597563896378,0.004207340655072605,1.3200106389215307
0.10999999999999999,0.26,33.697144890718846,0.004215133772629143,3.8430747919184114
0.05,0.15000000000000002,15.327087971099262,0.0042157747092268945,0.45954450451074536
0.06,0.19,18.391121699710702,0.004221497389275747,0.8379107735238449
0.19,0.28,58.10576798646602,0.004224855897209143,12.250109837244622
0.30999999999999994,0.29000000000000004,94.41815826264578,0.004227796384355695,33.12718363268323
0.05,0.14,15.326888217542399,0.00423404394076418,0.42890416561624534
0.13999999999999999,0.27,42.864119569884636,0.004234170687860794,6.448483216443947
0.08,0.23000000000000004,24.516567665132655,0.004235491935276579,1.8015553420989363
0.07,0.21000000000000002,21.454123217364966,0.0042431495439017395,1.2599955107556298
0.09999999999999999,0.25,30.63781914265217,0.004243663591433532,3.056049682153116
0.06,0.18,18.39080306657721,0.004247806431993989,0.7938017226138072
0.09,0.24,27.577637693910887,0.004249028933349233,2.377879891354837
0.05,0.13,15.326684642879654,0.004252313348959458,0.3982642050091272
0.19999999999999996,0.28,61.14623759186343,0.004259628503406784,13.556102426170696
0.12,0.26,36.753546367539776,0.004264306786123936,4.570039155510926
0.05,0.12000000000000001,15.326477247568207,0.00427058289443241,0.36762466854372633
0.43999999999999995,0.3,133.20100116955015,0.004271809022618662,66.99298253023505
0.31999999999999995,0.29000000000000004,97.4209615233645,0.004272321483127108,35.22827496527668
0.06,0.16999999999999998,18.390477835302992,0.004274115998635961,0.7496930763086311
0.14999999999999997,0.27,45.91540021747612,0.004276922600900186,7.395436611171249
0.07,0.2,21.453638401209886,0.004278959639063006,1.19998060622072
0.08,0.22000000000000003,24.515875537462275,0.00428226102883629,1.7232028659904017
0.05,0.11,15.326266032073788,0.004288852538006799,0.3369856020713087
0.20999999999999996,0.28,64.18399714647141,0.004297436142214176,14.925473887390353
0.06,0.15999999999999998,18.39014600693935,0.004300425998164462,0.705584929592419
0.10999999999999999,0.25,33.69546985678526,0.0043034906235580464,3.6951932471893087
0.05,0.09999999999999999,15.326050996870666,0.0043071222407069796,0.30634705143950214
0.09,0.23000000000000004,27.576674911983854,0.004308213642526245,2.2787650520022
0.07,0.19,21.453143117563233,0.004314770751349974,1.1399661010646014
0.09999999999999999,0.24,30.636529568354256,0.004316713714385362,2.9337554076420247
0.13,0.26,39.80813306965616,0.004318233820592568,5.358945281589513
