r_fm,V_7tensor_MeV,V_yukawa_MeV,V_coulomb_MeV,V_inv_sq_MeV,V_poly_MeV
0.5,16.457161039083985,17.88512342902645,-1.659456153621885,5.1368367543705915,16.364967035488036
0.5226130653266332,14.034366868720781,14.373517220859394,-1.5876527623593994,4.701920125504571,13.956173800046525
0.5452261306532663,11.946690695701136,11.573055218904473,-1.5218054127684568,4.3199870948593055,11.882408779079288
0.5678391959798995,10.139090007818595,9.334277125824899,-1.461202542348474,3.982768272962444,10.088135145878997
0.5904522613065326,8.56709441135672,7.540543296682627,-1.405241593918107,3.683546805067086,8.528609043436258
0.6130653266331658,7.1944903705032175,6.10045242265839,-1.353408912175226,3.4168212898049886,7.167483172141537
0.635678391959799,5.991571993330126,4.942113556688562,-1.305263931109704,3.178051091406361,5.975005418760951
0.6582914572864322,4.933805902282529,4.008790130453159,-1.2604266204990653,2.963461807438811,4.926650043154847
0.6809045226130653,4.00080244573337,3.255567403925934,-1.2185674338404249,2.7698951853845917,4.002067091613306
0.7035175879396984,3.1755159229935543,2.646789003114146,-1.179399194895554,2.5946922488498703,3.1842685330105134
0.7261306532663316,2.443617691601503,2.154075299177464,-1.1426705002448274,2.4356014931553718,2.4589923097289947
0.7487437185929648,1.793000978065038,1.754784662756489,-1.1081603173515273,2.290706187895025,1.8142013919837723
0.771356783919598,1.213386881649285,1.4308136973444212,-1.0756735328037625,2.158366373222313,1.2396861942999706
0.7939698492462312,0.6960087541749544,1.1676582508058484,-1.045037261299858,2.0371722511399395,0.7267467937773358
0.8165829145728644,0.23335774257748199,0.9536759806989471,-1.0160977679100156,1.9259064834066726,0.2679372454653812
0.8391959798994975,-0.1810235987024953,0.7795053663136038,-0.9887178879363926,1.823513502723563,-0.1431414243507092
0.8618090452261307,-0.5527096618711766,0.6376066334024627,-0.9627748529759624,1.7290743849062022,-0.5120098005254299
0.8844221105527639,-0.8865298563757733,0.5218980254397538,-0.9381584504850997,1.6417861595253564,-0.8434481316919964
0.907035175879397,-1.1866824218491274,0.4274668942555053,-0.914769458644751,1.5609446851223503,-1.1416099753402271
0.9296482412060302,-1.4568286996591269,0.35033968425665607,-0.8925183096506895,1.4859304040162875,-1.4101162153649565
0.9522613065326633,-1.7001715773385513,0.2872984076112205,-0.8713239434584569,1.416196436322706,-1.652133208280441
0.9748743718592965,-1.919521048401748,0.23573391764966434,-0.8511128210586473,1.3512585842665918,-1.8704380278042265
0.9974874371859297,-2.11734923178642,0.19352838086386973,-0.8318180719666376,1.2906869043635183,-2.0674731693298494
1.020100502512563,-2.295836728544373,0.15896097096683537,-0.813378755100382,1.2340985725801994,-2.245392602538626
1.042713567839196,-2.456911827367321,0.13063207166241458,-0.7957392158331448,1.181151820640614,-2.4061006899068396
1.0653266331658293,-2.602283781786582,0.1074022612068862,-0.7788485249310261,1.1315407635603738,-2.5512851971695554
1.0879396984924623,-2.7334711529040305,0.08834312459883506,-0.7626599874613282,1.0849909717894373,-2.682445390894948
1.1105527638190955,-2.8518260290152284,0.07269754638846897,-0.747130711698541,1.0412556679318081,-2.8009160345849367
1.1331658291457287,-2.958554787313915,0.059847615459887156,-0.7322212296469071,1.0001124493479865,-2.9078879477868833
1.1557788944723617,-3.054735945264383,0.04928865100599272,-0.7178951621103373,0.9613604551504246,-3.0044256746453133
1.178391959798995,-3.141335554179477,0.04060815812276755,-0.7041189223257039,0.9248179100378241,-3.0914827130359344
1.2010050251256281,-3.2192205103965534,0.033468758911168385,-0.6908614530768936,0.8903199887512028,-3.169914678179854
1.2236180904522613,-3.289170096573798,0.02759433383600825,-0.6780939929584294,0.8577169541965003,-3.2404907117557293
1.2462311557788945,-3.3518860141934965,0.022758758600802828,-0.6657898680861998,0.8268725298754137,-3.303903396134979
1.2688442211055277,-3.408001126106228,0.018776741970619064,-0.6539243060807032,0.7976624735215362,-3.3607773911996537
1.291457286432161,-3.4580870931415575,0.015496366097214765,-0.6424742695929088,0.7699733240088031,-3.4116769764789794
1.314070351758794,-3.5026610599986725,0.012793007914941259,-0.6314183070186522,0.7437012978873531,-3.4571126526437377
1.3366834170854272,-3.5421915217318656,0.010564381978498806,-0.6207364183660811,0.718751315470878,-3.4975469325998425
1.3592964824120604,-3.577103482242137,0.008726494783679439,-0.6104099345115621,0.695036139379836,-3.5333994326221596
1.3819095477386933,-3.6077829995597313,0.007210340588179332,-0.6004214083104639,0.6724756109415863,-3.5650513574427594
1.4045226130653266,-3.634581198778733,0.005959200966687644,-0.5907545162267533,0.6509959719465498,-3.592849459370597
1.4271356783919598,-3.6578178217969253,0.00492643633175973,-0.5813939693147098,0.6305292610277903,-3.617109539900108
1.449748743718593,-3.677784373156328,0.0040736786556352916,-0.572325432531638,0.6110127754260812,-3.638119552480801
1.4723618090452262,-3.6947469129502224,0.0033693516168607197,-0.5635354514859302,0.5923885901694539,-3.65614235685631
1.4949748743718594,-3.7089485406941094,0.002787458151801791,-0.5550113858332019,0.5746031277729815,-3.6714181683840925
1.5175879396984926,-3.7206116080753873,0.00230658654150829,-0.546741348627078,0.5576067724821,-3.684166739806715
1.5402010050251256,-3.7299396933831304,0.0019090952114828744,-0.5387141510126511,0.5413535238666037,-3.6945893078898875
1.5628140703517588,-3.7371193660646895,0.0015804437693705256,-0.5309192517214713,0.5258006852437159,-3.7028703330290833
1.585427135678392,-3.742321766127361,0.0013086437780842563,-0.5233467108886769,0.5109085829848473,-3.7091790562379856
1.6080402010050252,-3.745704019915138,0.001083807620884595,-0.5159871477668049,0.49664031325642033,-3.713670894770316
1.6306532663316584,-3.747410511026601,0.0008977777712703923,-0.5088317019580202,0.4829615131726415,-3.716488694910672
1.6532663316582914,-3.747574022796698,0.0007438220044274471,-0.5018719978278954,0.4698401537075364,-3.7177638581318972
1.6758793969849246,-3.746316766707423,0.0006163827159875619,-0.49510011180023256,0.45724635203349556,-3.717617354799438
1.6984924623115578,-3.7437513093354937,0.0005108706592807424,-0.48850854226443063,0.445152201231202,-3.716160637859572
1.721105527638191,-3.739981408912854,0.0004234951642675721,-0.48209018185511693,0.43353161555720554,-3.713496467438146
1.7437185929648242,-3.7351027712547875,0.0003511243330047763,-0.4758382918886961,0.42236018966570144,-3.709719655965943
1.7663316582914574,-3.729203733644681,0.00029116987713401617,-0.46974647876352077,0.4116150703646226,-3.7049177423073267
1.7889447236180904,-3.7223658842733585,0.00024149222066405815,-0.463808672149937,0.401274839646647,-3.6991716023764165
1.8115577889447236,-3.7146646239418715,0.00020032227539930165,-0.45801910481380737,0.3913194078763118,-3.6925560028590647
1.8341708542713568,-3.7061696759742517,0.00016619693861268865,-0.45237229393254125,0.38172991613779284,-3.68514010390206
1.85678391959799,-3.6969455496177943,0.00013790588890902483,-0.4468630237763939,0.37248864685633726,-3.676987915968359
1.8793969849246233,-3.687051961611587,0.000114447687813064,-0.4414863296400469,0.36357894190180906,-3.6681587154760367
1.9020100502512562,-3.6765442200962752,9.49935486813287e-05,-0.4362374829204163,0.3549851274669877,-3.6587074233282904
1.9246231155778895,-3.6654735745726157,7.885742514194053e-05,-0.4311119772464166,0.346692445087617,-3.6486849499928455
1.9472361809045227,-3.6538875352252944,6.547130989680433e-05,-0.4261055155751679,0.33868698823696947,-3.638138510393591
1.9698492462311559,-3.641830164563544,5.4364830758448636e-05,-0.4212139981769836,0.33095564398595273,-3.6271119115282358
1.992462311557789,-3.62934234402951,4.5148391911001484e-05,-0.416433511438531,0.3234860392714781,-3.61564581541745
