sigma_pS_ring,sigma_aS,sigma_pS_tube,sigma_eff_tube,sigma_eff_ring,config,r_fm,V_MeV
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1,2492.8890739545395
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.10174634027476069,2431.8153137952777
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.10352317759307386,2371.9866613495988
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1053310445370937,2313.383193345836
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.10717048298967109,2255.985282707861
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.10904204429677526,2199.7735911526806
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.11094628943275221,2144.7290619133464
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.11288378916846889,2090.8329125908394
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1148551242423938,2038.0666281387537
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.11686088553466514,1986.4119539848423
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.11890167424419897,1935.8508892936477
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.12097810206889013,1886.3656803746
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.12309079138896024,1837.938814240105
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1252403754535073,1790.553012318231
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.12742749857031338,1744.1912243246877
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.12965281629896683,1698.8366222988318
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.13191699564735718,1654.4725948084154
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.13422071527160126,1611.082741327811
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.13656466567946107,1568.650866794312
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.13894954943731375,1527.160976347058
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.14137608138073607,1486.5972702529432
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.14384498882876628,1446.9441390236964
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.14635701180190802,1408.1861587280634
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.14891290324394094,1370.3080865027716
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1515134292476053,1333.2948562656063
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.15415936928422727,1297.131574633592
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.15685151643735473,1261.8035170488358
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1595906776404731,1227.2961241141732
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.16237767391887217,1193.5949981402625
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.165213340635737,1160.6858999052458
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.16809852774253642,1128.554745627562
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.17103410003378405,1097.1876041518938
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1740209374062485,1066.570694347645
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1770599351226899,1036.6903827187086
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.18015200408020252,1007.5331812226157
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.18329807108324356,979.0857452965386
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.1864990791214297,951.3348720869183
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.18975598765218504,924.267498878831
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.193069772888325,897.8707017205359
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.19644142809066276,872.1316942379897
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.19987196386572506,847.037826633469
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.20336240846866735,822.5765848618078
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.20691380811147897,798.7355899771553
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.2105272272765707,775.5025976425989
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.21420374903583841,752.8654977944359
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.21794447537529857,730.8123144524086
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.22175052752539323,709.3312056667316
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.2256230462970634,688.4104635923488
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.22956319242369097,668.0385146805072
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.23357214690901226,648.2039199774174
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.23765111138110748,628.8953755195337
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.24180130845257206,610.1017128147944
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.24602398208697762,591.8118993990486
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.25032039797173256,574.015039456807
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.2546918438974541,556.7003744954679
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.25913963014396585,539.8572840622112
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.26366508987303583,523.4752864928716
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.2682695795279726,507.54403968227075
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.27295447924020066,492.0533418657062
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.2777211932429355,476.9931324015854
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.28257115029208285,462.35349254551215
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.287505804094488,448.12464620649985
-0.10938844221105529,-1.0054154113168406e-08,5.527539357793139e-09,0.5570508627973983,-1.1326700399919785,pp (R64),0.29252663374366455,434.2969606764175
