n,m,k_theta,mu_squared,predicted_mass_MeV,charge_guess,multinucleon_N
-1,0,-1.000000,1.01077026,94.2782,-1.000000,0
1,0,1.000000,1.01077026,94.2782,1.000000,0
-2,0,-2.000000,4.04307925,188.5563,-2.000000,0
2,0,2.000000,4.04307925,188.5563,2.000000,0
-3,0,-3.000000,9.09692156,282.8344,-3.000000,0
3,0,3.000000,9.09692156,282.8344,3.000000,0
-1,-1,-0.666667,25.11230782,469.9248,-0.666667,0
1,1,0.666667,25.11230782,469.9248,0.666667,0
0,1,-0.333333,25.44923124,473.0667,-0.333333,0
0,-1,0.333333,25.44923124,473.0667,0.333333,0
2,1,1.666667,26.79692432,485.4310,1.666667,0
-2,-1,-1.666667,26.79692432,485.4310,-1.666667,0
-1,1,-1.333333,27.80769351,494.5014,-1.333333,0
1,-1,1.333333,27.80769351,494.5014,1.333333,0
-3,-1,-2.666667,30.50307535,517.9130,-2.666667,0
3,1,2.666667,30.50307535,517.9130,2.666667,0
-2,1,-2.333333,32.18768706,532.0224,-2.333333,0
2,-1,2.333333,32.18768706,532.0224,2.333333,0
3,-1,3.333333,38.58919788,582.5295,3.333333,0
-3,1,-3.333333,38.58919788,582.5295,-3.333333,0
-1,-2,-0.333333,100.11230783,938.2720,-0.333333,0
1,2,0.333333,100.11230783,938.2720,0.333333,0
-2,-2,-1.333333,100.44923133,939.8495,-1.333333,0
2,2,1.333333,100.44923133,939.8495,1.333333,0
0,2,-0.666667,101.79692578,946.1334,-0.666667,0
0,-2,0.666667,101.79692578,946.1334,0.666667,0
-3,-2,-2.333333,102.80769707,950.8190,-2.333333,0
3,2,2.333333,102.80769707,950.8190,2.333333,0
1,-2,1.666667,105.50308906,963.2025,1.666667,0
-1,2,-1.666667,105.50308906,963.2025,-1.666667,0
-2,2,-2.666667,111.23080611,989.0029,-2.666667,0
2,-2,2.666667,111.23080611,989.0029,2.666667,0
3,-2,3.666667,118.98009005,1022.8741,3.666667,0
-3,2,-3.666667,118.98009005,1022.8741,-3.666667,0
-2,-3,-1.000000,225.00000037,1406.6184,-1.000000,0
2,3,1.000000,225.00000037,1406.6184,1.000000,0
-3,-3,-2.000000,226.01058764,1409.7737,-2.000000,0
-1,-3,0.000000,226.01058764,1409.7737,0.000000,0
1,3,0.000000,226.01058764,1409.7737,0.000000,0
3,3,2.000000,226.01058764,1409.7737,2.000000,0
0,-3,1.000000,229.04235196,1419.1978,1.000000,0
0,3,-1.000000,229.04235196,1419.1978,-1.000000,0
1,-3,2.000000,234.09529751,1434.7670,2.000000,0
-1,3,-2.000000,234.09529751,1434.7670,-2.000000,0
2,-3,3.000000,241.16943182,1456.2842,3.000000,0
-2,3,-3.000000,241.16943182,1456.2842,-3.000000,0
3,-3,4.000000,250.26476543,1483.4909,4.000000,0
-3,3,-4.000000,250.26476543,1483.4909,-4.000000,0
