index,eigenvalue,sqrt_eigenvalue,enrichment
275,1.14982610e+00,1.07229945e+00,1.001997
276,1.14982610e+00,1.07229945e+00,1.001997
277,1.15245610e+00,1.07352508e+00,1.000679
278,1.15245610e+00,1.07352508e+00,1.000679
279,1.16320059e+00,1.07851777e+00,1.002990
280,1.16320059e+00,1.07851777e+00,1.002990
281,1.16530661e+00,1.07949368e+00,0.974282
282,1.16530672e+00,1.07949373e+00,0.974282
283,1.16530672e+00,1.07949373e+00,0.974282
284,1.18365635e+00,1.08795972e+00,0.977316
285,1.18365661e+00,1.08795984e+00,0.977315
286,1.18365661e+00,1.08795984e+00,0.977315
287,1.18686569e+00,1.08943366e+00,1.001937
288,1.18686569e+00,1.08943366e+00,1.001937
289,1.18871780e+00,1.09028336e+00,1.000617
290,1.18871782e+00,1.09028337e+00,1.000617
291,1.19647997e+00,1.09383727e+00,1.003032
292,1.19647997e+00,1.09383727e+00,1.003032
293,1.20860524e+00,1.09936584e+00,0.973761
294,1.20860524e+00,1.09936584e+00,0.973761
295,1.20860626e+00,1.09936630e+00,0.973760
296,1.22387410e+00,1.10628843e+00,1.001889
297,1.22387412e+00,1.10628845e+00,1.001889
298,1.22488838e+00,1.10674675e+00,1.000558
299,1.22488838e+00,1.10674675e+00,1.000558
300,1.22718391e+00,1.10778333e+00,0.977122
301,1.22718391e+00,1.10778333e+00,0.977122
302,1.22718627e+00,1.10778440e+00,0.977118
303,1.22916535e+00,1.10867730e+00,1.003059
304,1.22916535e+00,1.10867730e+00,1.003059
305,1.25024294e+00,1.11814263e+00,0.975473
306,1.25025054e+00,1.11814603e+00,0.975459
307,1.25025054e+00,1.11814603e+00,0.975459
308,1.26075214e+00,1.12283220e+00,1.002359
309,1.26075214e+00,1.12283220e+00,1.002359
310,1.26090306e+00,1.12289940e+00,1.000500
311,1.26090306e+00,1.12289940e+00,1.000500
312,1.26123430e+00,1.12304688e+00,1.002568
313,1.26123430e+00,1.12304688e+00,1.002568
314,1.26882942e+00,1.12642329e+00,0.979504
315,1.26884711e+00,1.12643114e+00,0.979466
316,1.26884711e+00,1.12643114e+00,0.979466
317,1.28992016e+00,1.13574652e+00,0.980318
318,1.28992016e+00,1.13574652e+00,0.980318
319,1.28996927e+00,1.13576814e+00,0.980202
320,1.29251701e+00,1.13688918e+00,1.003233
321,1.29251701e+00,1.13688918e+00,1.003233
322,1.29669740e+00,1.13872622e+00,1.000444
323,1.29669743e+00,1.13872623e+00,1.000444
324,1.29754916e+00,1.13910015e+00,1.001672
325,1.29754916e+00,1.13910015e+00,1.001672
326,1.30819059e+00,1.14376159e+00,0.985630
327,1.30819059e+00,1.14376159e+00,0.985630
328,1.30829321e+00,1.14380646e+00,0.985393
329,1.32308439e+00,1.15025405e+00,1.003249
330,1.32308439e+00,1.15025405e+00,1.003248
331,1.32699465e+00,1.15195254e+00,0.989965
332,1.32721458e+00,1.15204800e+00,0.989533
333,1.32721458e+00,1.15204800e+00,0.989533
334,1.33220743e+00,1.15421291e+00,1.000390
335,1.33220743e+00,1.15421291e+00,1.000390
336,1.33407512e+00,1.15502170e+00,1.001634
337,1.33407516e+00,1.15502171e+00,1.001634
338,1.34410649e+00,1.15935607e+00,0.998972
339,1.34476294e+00,1.15963914e+00,0.996818
340,1.34476294e+00,1.15963914e+00,0.996818
341,1.35283741e+00,1.16311539e+00,1.003276
342,1.35283741e+00,1.16311539e+00,1.003276
343,1.36028759e+00,1.16631368e+00,1.007884
344,1.36028759e+00,1.16631368e+00,1.007884
345,1.36181362e+00,1.16696771e+00,1.002525
346,1.36736956e+00,1.16934578e+00,1.000337
347,1.36736956e+00,1.16934578e+00,1.000337
348,1.37031156e+00,1.17060307e+00,1.001584
349,1.37031156e+00,1.17060307e+00,1.001584
350,1.37623732e+00,1.17313142e+00,1.015768
351,1.37623732e+00,1.17313142e+00,1.015768
352,1.37627721e+00,1.17314842e+00,1.020932
353,1.38172601e+00,1.17546842e+00,1.003300
354,1.38172601e+00,1.17546842e+00,1.003300
355,1.39007361e+00,1.17901383e+00,1.025333
356,1.39007361e+00,1.17901383e+00,1.025333
357,1.39145012e+00,1.17959744e+00,1.013335
358,1.39994877e+00,1.18319431e+00,1.035066
359,1.40212041e+00,1.18411166e+00,1.000297
360,1.40212044e+00,1.18411167e+00,1.000297
361,1.40619267e+00,1.18582995e+00,1.001535
362,1.40619267e+00,1.18582995e+00,1.001535
363,1.40849536e+00,1.18680047e+00,1.020180
364,1.40849536e+00,1.18680047e+00,1.020180
365,1.40970124e+00,1.18730840e+00,1.003310
366,1.40970131e+00,1.18730843e+00,1.003307
367,1.41638926e+00,1.19012153e+00,1.024510
368,1.41638926e+00,1.19012153e+00,1.024510
369,1.42911872e+00,1.19545754e+00,1.011985
370,1.43197688e+00,1.19665236e+00,1.025686
371,1.43634980e+00,1.19847812e+00,1.001426
372,1.43634980e+00,1.19847812e+00,1.001426
373,1.43676337e+00,1.19865064e+00,1.002140
374,1.43676337e+00,1.19865064e+00,1.002140
375,1.43836268e+00,1.19931759e+00,1.016028
376,1.43836268e+00,1.19931759e+00,1.016028
377,1.44165387e+00,1.20068892e+00,1.001493
378,1.44165388e+00,1.20068892e+00,1.001493
379,1.45446973e+00,1.20601398e+00,1.015340
380,1.45446973e+00,1.20601398e+00,1.015340
381,1.46247073e+00,1.20932656e+00,1.009432
382,1.46271150e+00,1.20942610e+00,1.003453
383,1.46271150e+00,1.20942610e+00,1.003453
384,1.46329757e+00,1.20966837e+00,1.014797
385,1.47015089e+00,1.21249779e+00,1.000065
386,1.47015089e+00,1.21249779e+00,1.000065
387,1.47663103e+00,1.21516708e+00,1.001461
388,1.47663103e+00,1.21516708e+00,1.001461
389,1.48015152e+00,1.21661478e+00,1.012545
390,1.48015152e+00,1.21661478e+00,1.012545
391,1.48766260e+00,1.21969775e+00,1.003453
392,1.48766331e+00,1.21969804e+00,1.003448
393,1.48912836e+00,1.22029847e+00,1.009609
394,1.48912836e+00,1.22029847e+00,1.009609
395,1.50330151e+00,1.22609197e+00,1.000007
396,1.50330152e+00,1.22609197e+00,1.000007
397,1.50727308e+00,1.22771050e+00,1.010133
398,1.50740164e+00,1.22776286e+00,1.011428
399,1.51106042e+00,1.22925198e+00,1.001443
