mass_MeV,substrate,kind,closure,n1,n2,n3,n4,n5,tube_dim,sigma_eff
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-3,0,-1,d5,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,-3,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,-2,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,-1,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,-1,d5,2.0000
6.199210e+00,Ma(d3),1D,closed,0,0,-1,0,0,,
6.199210e+00,Ma(d3),1D,closed,0,0,1,0,0,,
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,1,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,1,d5,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,2,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,3,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,3,0,1,d5,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,1,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,2,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,-2,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,-1,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,-1,0,3,d3,2.0000
6.199210e+00,"Ma(d3,d5)",2D,closed,0,0,1,0,-3,d3,2.0000
6.201363e+00,"Ma(d3,d4)",2D,closed,0,0,-1,-2,0,d3,1.6837
6.201363e+00,"Ma(d3,d4)",2D,closed,0,0,1,2,0,d3,1.6837
6.209264e+00,"Ma(d3,d4)",2D,closed,0,0,-1,-1,0,d3,1.6837
6.209264e+00,"Ma(d3,d4)",2D,closed,0,0,1,1,0,d3,1.6837
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,-1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,-1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,-1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,-1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,1,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,-3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,-2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-1,3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,-3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,-2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,1,3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,-3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,-2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-1,3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,-3,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,-2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,2,,
6.220698e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,1,3,,
6.236394e+00,"Ma(d3,d4)",2D,closed,0,0,-1,-3,0,d3,1.6837
6.236394e+00,"Ma(d3,d4)",2D,closed,0,0,1,3,0,d3,1.6837
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,-2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,-1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,-2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,-1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,-2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,-1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,-2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,-1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,1,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,2,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,-3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-2,3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,-3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,2,3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,-3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,-2,3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,-3,,
6.284720e+00,"Ma(d3,d4,d5)",3D,open,0,0,1,2,3,,
6.352347e+00,"Ma(d3,d4)",2D,closed,0,0,-1,1,0,d3,1.6837
6.352347e+00,"Ma(d3,d4)",2D,closed,0,0,1,-1,0,d3,1.6837
6.389999e+00,"Ma(d3,d4,d5)",3D,open,0,0,-1,-3,-3,,
